#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 672095.0583571303 1959.5883190329
26 27 672095.0583571303 1959.5883190329
27 28 672095.0583571303 1959.5883190329
28 29 672095.0583571303 1959.5883190329
29 30 672095.0583571303 1959.5883190329
30 31 672095.0583571303 1959.5883190329
31 32 672095.0583571303 1959.5883190329
32 33 672095.0583571303 1959.5883190329
33 34 672095.0583571303 1959.5883190329
34 35 672095.0583571303 1959.5883190329
35 36 672095.0583571303 1959.5883190329
36 37 672095.0583571303 1959.5883190329
37 38 672095.0583571303 1959.5883190329
38 39 672095.0583571303 1959.5883190329
39 40 672095.0583571303 1959.5883190329
40 41 672095.0583571303 1959.5883190329
41 42 672095.0583571303 1959.5883190329
42 43 672095.0583571303 1959.5883190329
43 44 672095.0583571303 1959.5883190329
44 45 672095.0583571303 1959.5883190329
45 46 672095.0583571303 1959.5883190329
46 47 672095.0583571303 1959.5883190329
47 48 672095.0583571303 1959.5883190329
48 49 672095.0583571303 1959.5883190329
49 50 672095.0583571303 1959.5883190329
50 51 672095.0583571303 1959.5883190329
51 52 672095.0583571303 1959.5883190329
52 53 672095.0583571303 1959.5883190329
53 54 672095.0583571303 1959.5883190329
54 55 672095.0583571303 1959.5883190329
55 56 672095.0583571303 1959.5883190329
56 57 672095.0583571303 1959.5883190329
57 58 672095.0583571303 1959.5883190329
58 59 672095.0583571303 1959.5883190329
59 60 672095.0583571303 1959.5883190329
25 60 23523327.04249956 11593.08083742871
