#qTlo qThi PDF0  uncertainty
0 2 27431.78579812939 3406.1087567442
2 4 65103.4555406986 1945.150013098557
4 6 71002.18233164912 1446.443890358579
6 8 63595.33710431511 1164.493653670353
8 10 54469.72013646134 1025.743434363933
10 12 46353.88667096372 828.4505008845175
12 14 39333.79745587399 711.7799837704052
14 16 33722.71744587531 395.7169918271402
16 18 28926.73610481033 509.3083046913799
18 20 24574.21799391718 502.2382212568823
20 22 21051.84209894723 476.6101844162098
22 24 19185.92952417658 594.8714016134036
24 26 16686.45420552281 294.4639061950145
26 28 15360.52933590983 252.9428289288817
28 30 13414.96378487912 339.0762921310051
30 32 11585.75014597637 395.5344163620054
32 34 10456.72553710533 205.1985849309231
34 36 9491.17518769667 269.4279205492485
36 38 8653.76785786529 207.599478641946
38 40 7662.676545625874 196.1375747818157
40 42 6569.894565515982 264.9884687703732
42 44 6114.510948474201 161.8824622537306
44 46 5562.87431860328 346.2926987754961
46 48 5399.144467311524 219.1816854207883
48 50 4855.342854269401 136.6882912419567
50 52 4379.311174365954 150.8939589915151
52 54 3778.695890312891 116.6426652033278
54 56 3469.148678068977 124.9261855909451
56 58 3344.73674293504 94.77936289976689
58 60 3046.146525641184 124.7811583644247
60 62 2724.208831096681 93.60583330603878
62 64 2445.142000542888 96.20995140863005
64 66 2274.373667877667 97.6759063039824
66 68 2137.506910169401 65.61190200078012
68 70 2039.684475461659 77.51068691333688
70 72 1785.676722168892 61.95237525229104
72 74 1652.8574549564 71.55662783661981
74 76 1581.004807426779 74.50900581544666
76 78 1494.635646849869 59.54558381282138
78 80 1351.787771827742 59.16661304295219
80 82 1179.198193379888 51.87697137041339
82 84 1127.896214376231 68.43518222019446
84 86 1104.359196525479 66.63667581037775
86 88 999.1806283087169 47.2981578630787
88 90 907.8628867419361 40.61238814156345
90 92 898.3565798229366 51.06896117363891
92 94 848.6796976277873 40.11948918038794
94 96 635.5718878173559 61.47305526459979
96 98 716.7087268706989 34.66389093023513
98 100 699.1741948578887 43.63897809601099
0 100 663187.3234666042 4836.528704675909
