#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 670836.7127463683 3157.730629212914
26 27 670836.7127463683 3157.730629212914
27 28 670836.7127463683 3157.730629212914
28 29 670836.7127463683 3157.730629212914
29 30 670836.7127463683 3157.730629212914
30 31 670836.7127463683 3157.730629212914
31 32 670836.7127463683 3157.730629212914
32 33 670836.7127463683 3157.730629212914
33 34 670836.7127463683 3157.730629212914
34 35 670836.7127463683 3157.730629212914
35 36 670836.7127463683 3157.730629212914
36 37 670836.7127463683 3157.730629212914
37 38 670836.7127463683 3157.730629212914
38 39 670836.7127463683 3157.730629212914
39 40 670836.7127463683 3157.730629212914
40 41 670836.7127463683 3157.730629212914
41 42 670836.7127463683 3157.730629212914
42 43 670836.7127463683 3157.730629212914
43 44 670836.7127463683 3157.730629212914
44 45 670836.7127463683 3157.730629212914
45 46 670836.7127463683 3157.730629212914
46 47 670836.7127463683 3157.730629212914
47 48 670836.7127463683 3157.730629212914
48 49 670836.7127463683 3157.730629212914
49 50 670836.7127463683 3157.730629212914
50 51 670836.7127463683 3157.730629212914
51 52 670836.7127463683 3157.730629212914
52 53 670836.7127463683 3157.730629212914
53 54 670836.7127463683 3157.730629212914
54 55 670836.7127463683 3157.730629212914
55 56 670836.7127463683 3157.730629212914
56 57 670836.7127463683 3157.730629212914
57 58 670836.7127463683 3157.730629212914
58 59 670836.7127463683 3157.730629212914
59 60 670836.7127463683 3157.730629212914
25 60 23479284.94612289 18681.38633596096
