#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 676591.6197987106 897.4191511932887
-2.3 -2.2 676591.6197987106 897.4191511932887
-2.2 -2.1 676591.6197987106 897.4191511932887
-2.1 -2 676591.6197987106 897.4191511932887
-2 -1.9 676591.6197987106 897.4191511932887
-1.9 -1.8 676591.6197987106 897.4191511932887
-1.8 -1.7 676591.6197987106 897.4191511932887
-1.7 -1.6 676591.6197987106 897.4191511932887
-1.6 -1.5 676591.6197987106 897.4191511932887
-1.5 -1.4 676591.6197987106 897.4191511932887
-1.4 -1.3 676591.6197987106 897.4191511932887
-1.3 -1.2 676591.6197987106 897.4191511932887
-1.2 -1.1 676591.6197987106 897.4191511932887
-1.1 -1 676591.6197987106 897.4191511932887
-1 -0.9 676591.6197987106 897.4191511932887
-0.9 -0.8 676591.6197987106 897.4191511932887
-0.8 -0.7 676591.6197987106 897.4191511932887
-0.7 -0.6 676591.6197987106 897.4191511932887
-0.6 -0.5 676591.6197987106 897.4191511932887
-0.5 -0.4 676591.6197987106 897.4191511932887
-0.4 -0.3 676591.6197987106 897.4191511932887
-0.3 -0.2 676591.6197987106 897.4191511932887
-0.2 -0.1 676591.6197987106 897.4191511932887
-0.1 0 676591.6197987106 897.4191511932887
0 0.1 676591.6197987106 897.4191511932887
0.1 0.2 676591.6197987106 897.4191511932887
0.2 0.3 676591.6197987106 897.4191511932887
0.3 0.4 676591.6197987106 897.4191511932887
0.4 0.5 676591.6197987106 897.4191511932887
0.5 0.6 676591.6197987106 897.4191511932887
0.6 0.7 676591.6197987106 897.4191511932887
0.7 0.8 676591.6197987106 897.4191511932887
0.8 0.9 676591.6197987106 897.4191511932887
0.9 1 676591.6197987106 897.4191511932887
1 1.1 676591.6197987106 897.4191511932887
1.1 1.2 676591.6197987106 897.4191511932887
1.2 1.3 676591.6197987106 897.4191511932887
1.3 1.4 676591.6197987106 897.4191511932887
1.4 1.5 676591.6197987106 897.4191511932887
1.5 1.6 676591.6197987106 897.4191511932887
1.6 1.7 676591.6197987106 897.4191511932887
1.7 1.8 676591.6197987106 897.4191511932887
1.8 1.9 676591.6197987106 897.4191511932887
1.9 2 676591.6197987106 897.4191511932887
2 2.1 676591.6197987106 897.4191511932887
2.1 2.2 676591.6197987106 897.4191511932887
2.2 2.3 676591.6197987106 897.4191511932887
2.3 2.4 676591.6197987106 897.4191511932887
-2.4 2.4 32476397.75033806 6217.502262208448
