#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 656623.8003120121 731.2009945947207
26 27 656623.8003120121 731.2009945947207
27 28 656623.8003120121 731.2009945947207
28 29 656623.8003120121 731.2009945947207
29 30 656623.8003120121 731.2009945947207
30 31 656623.8003120121 731.2009945947207
31 32 656623.8003120121 731.2009945947207
32 33 656623.8003120121 731.2009945947207
33 34 656623.8003120121 731.2009945947207
34 35 656623.8003120121 731.2009945947207
35 36 656623.8003120121 731.2009945947207
36 37 656623.8003120121 731.2009945947207
37 38 656623.8003120121 731.2009945947207
38 39 656623.8003120121 731.2009945947207
39 40 656623.8003120121 731.2009945947207
40 41 656623.8003120121 731.2009945947207
41 42 656623.8003120121 731.2009945947207
42 43 656623.8003120121 731.2009945947207
43 44 656623.8003120121 731.2009945947207
44 45 656623.8003120121 731.2009945947207
45 46 656623.8003120121 731.2009945947207
46 47 656623.8003120121 731.2009945947207
47 48 656623.8003120121 731.2009945947207
48 49 656623.8003120121 731.2009945947207
49 50 656623.8003120121 731.2009945947207
50 51 656623.8003120121 731.2009945947207
51 52 656623.8003120121 731.2009945947207
52 53 656623.8003120121 731.2009945947207
53 54 656623.8003120121 731.2009945947207
54 55 656623.8003120121 731.2009945947207
55 56 656623.8003120121 731.2009945947207
56 57 656623.8003120121 731.2009945947207
57 58 656623.8003120121 731.2009945947207
58 59 656623.8003120121 731.2009945947207
59 60 656623.8003120121 731.2009945947207
25 60 22981833.01092043 4325.843421504158
