#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 669642.6385352104 2942.762372861963
26 27 669642.6385352104 2942.762372861963
27 28 669642.6385352104 2942.762372861963
28 29 669642.6385352104 2942.762372861963
29 30 669642.6385352104 2942.762372861963
30 31 669642.6385352104 2942.762372861963
31 32 669642.6385352104 2942.762372861963
32 33 669642.6385352104 2942.762372861963
33 34 669642.6385352104 2942.762372861963
34 35 669642.6385352104 2942.762372861963
35 36 669642.6385352104 2942.762372861963
36 37 669642.6385352104 2942.762372861963
37 38 669642.6385352104 2942.762372861963
38 39 669642.6385352104 2942.762372861963
39 40 669642.6385352104 2942.762372861963
40 41 669642.6385352104 2942.762372861963
41 42 669642.6385352104 2942.762372861963
42 43 669642.6385352104 2942.762372861963
43 44 669642.6385352104 2942.762372861963
44 45 669642.6385352104 2942.762372861963
45 46 669642.6385352104 2942.762372861963
46 47 669642.6385352104 2942.762372861963
47 48 669642.6385352104 2942.762372861963
48 49 669642.6385352104 2942.762372861963
49 50 669642.6385352104 2942.762372861963
50 51 669642.6385352104 2942.762372861963
51 52 669642.6385352104 2942.762372861963
52 53 669642.6385352104 2942.762372861963
53 54 669642.6385352104 2942.762372861963
54 55 669642.6385352104 2942.762372861963
55 56 669642.6385352104 2942.762372861963
56 57 669642.6385352104 2942.762372861963
57 58 669642.6385352104 2942.762372861963
58 59 669642.6385352104 2942.762372861963
59 60 669642.6385352104 2942.762372861963
25 60 23437492.34873234 17409.61698055491
