#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
48 50 25 26 484.585595169766 1.010130290771294
48 50 26 27 438.1619817719254 0.9835499876338359
48 50 27 28 407.4096392795565 0.9183595609772007
48 50 28 29 386.9624987627086 0.8862222986667547
48 50 29 30 359.5776242226771 0.8272637021669129
48 50 30 31 351.4655151629894 0.8126804682817668
48 50 31 32 325.8454175744963 0.7485827482331965
48 50 32 33 320.6305924129188 0.7669443534659895
48 50 33 34 303.8454897983395 0.7507577586901981
48 50 34 35 301.7893438960684 0.7238531323554596
48 50 35 36 278.5484348998094 0.675906571636984
48 50 36 37 274.240368474571 0.6470830313221538
48 50 37 38 272.1052320422315 0.654493842772787
48 50 38 39 259.8322296213714 0.6777369997122248
48 50 39 40 257.715904557071 0.64395872340368
48 50 40 41 244.5916620636282 0.6122868613294437
48 50 41 42 247.8887268495014 0.6219759882504751
48 50 42 43 237.2810290661422 0.5932458820890585
48 50 43 44 224.241716840125 0.5387270336325151
48 50 44 45 235.5610045155566 0.560161873987289
48 50 45 46 213.9026488650216 0.5225547425614767
48 50 46 47 216.6383442202932 0.5709078123792212
48 50 47 48 220.3837949204523 0.5250989828109509
48 50 48 49 205.0431970806656 0.5089265420212618
48 50 49 50 205.6724743264627 0.5417595707983486
48 50 50 51 196.5019700335819 0.5048415676784463
48 50 51 52 200.5942806156432 0.4906434281900399
48 50 52 53 201.9925380392799 0.5180440135699194
48 50 53 54 191.8242717418401 0.485451554391413
48 50 54 55 193.3486351958983 0.5066208781502129
48 50 55 56 187.8340266358472 0.4841629332585535
48 50 56 57 189.7223611691576 0.4916379915863703
48 50 57 58 186.6451948934751 0.4673309115521829
48 50 58 59 179.087076217708 0.4625044200145109
48 50 59 60 183.1740068458808 0.4493589685212563
50 52 25 26 430.1515271251407 0.8889911817311571
50 52 26 27 394.1179258519593 0.9178429265211927
50 52 27 28 363.1797027009786 0.8660860305695184
50 52 28 29 346.5231963164129 0.8096027488253393
50 52 29 30 322.4415063934786 0.8010302749627153
50 52 30 31 316.549787179625 0.7633632759837091
50 52 31 32 292.4566119703655 0.7244464780494804
50 52 32 33 286.68494853347 0.6762116052025746
50 52 33 34 271.711776950301 0.7147372847339452
50 52 34 35 272.3158533695556 0.6691609379921187
50 52 35 36 251.9486136578579 0.6453701298777901
50 52 36 37 244.6343686211738 0.6432560196806713
50 52 37 38 248.7679856255907 0.6148827115025292
50 52 38 39 230.447881535162 0.5976208943384245
50 52 39 40 231.5551446016651 0.5841320719461279
50 52 40 41 223.4356924588091 0.5288127736595614
50 52 41 42 215.6467829229649 0.5632372618638943
50 52 42 43 220.8509542713897 0.5348123073239092
50 52 43 44 200.9241128910832 0.5224214859558414
50 52 44 45 208.3681733572453 0.5099721959788722
50 52 45 46 198.7728044158528 0.4995841110928719
50 52 46 47 190.3832396803591 0.4752454686107052
50 52 47 48 193.9157955268937 0.5056277394798889
50 52 48 49 189.7624219408487 0.4764701918165368
50 52 49 50 185.7242465569936 0.4775983852848139
50 52 50 51 187.9019108224152 0.4827197673483161
50 52 51 52 172.6458796823136 0.4660354148153191
50 52 52 53 178.1784846938365 0.4413667168010663
50 52 53 54 174.0812454459512 0.4561058543290345
50 52 54 55 170.6801251258895 0.4346851588464932
50 52 55 56 170.4352195375041 0.4353626520807374
50 52 56 57 164.2936568115057 0.4526525062454418
50 52 57 58 167.6936302920379 0.4761837106786531
50 52 58 59 163.7518685557598 0.410892160240129
50 52 59 60 158.4721590282008 0.4507310451933073
48 52 25 60 17424.05006223326 5.256846138048315
