#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
36 38 25 26 1149.899206066047 141.7657379824172
36 38 26 27 1683.511281640815 191.5434043057054
36 38 27 28 1094.402078125619 145.3628883551121
36 38 28 29 1098.085468271878 96.74168974627634
36 38 29 30 828.1596189823221 80.54248434557324
36 38 30 31 797.1800064566492 75.22492838822572
36 38 31 32 751.2719413700109 80.00600386393114
36 38 32 33 489.9646369765402 124.3327262152412
36 38 33 34 584.5957432626352 83.77776170249749
36 38 34 35 666.7908127076068 69.350124184176
36 38 35 36 540.9619160866944 76.03038292463077
36 38 36 37 515.4205868597794 81.59793646392492
36 38 37 38 562.9882568764377 60.11356692639546
36 38 38 39 551.5043924065195 60.95587556215179
36 38 39 40 458.0896400945645 93.71645714456461
36 38 40 41 507.420404088194 47.9900113168535
36 38 41 42 438.9786465821824 59.57023610974598
36 38 42 43 491.2291144441851 81.45350866024656
36 38 43 44 477.9646829829805 44.09750076980848
36 38 44 45 474.362650690675 59.7873865651883
36 38 45 46 448.2170388567401 54.20308811089229
36 38 46 47 585.4268241018979 83.23634509957279
36 38 47 48 383.8415977985985 89.82090207415057
36 38 48 49 287.6172284435071 60.94385862490074
36 38 49 50 413.9320262178452 48.61276386261283
36 38 50 51 393.4423548523334 47.1799495320239
36 38 51 52 409.1393168645466 48.36165020755145
36 38 52 53 441.9323685369077 58.49316370118343
36 38 53 54 419.7744905343474 40.02039943016993
36 38 54 55 335.5412741465965 94.80982155872232
36 38 55 56 386.3572483779262 44.01167502429232
36 38 56 57 407.1245427711829 62.60575428242258
36 38 57 58 371.7293275868169 51.57847982911481
36 38 58 59 531.2713186330033 36.10510421129236
36 38 59 60 432.7506460260522 45.26574937656243
38 40 25 26 1337.293525242578 152.6203809702635
38 40 26 27 932.0695172350802 95.70714533532349
38 40 27 28 926.4810624659849 101.032411801888
38 40 28 29 961.4981522849539 101.5479454518895
38 40 29 30 617.3602638937214 101.9566230941588
38 40 30 31 756.8160293367417 77.51244677821802
38 40 31 32 571.398875848995 111.9626295391564
38 40 32 33 510.2968636775272 73.98201211020779
38 40 33 34 612.3776252335258 83.10225084496513
38 40 34 35 426.9937190229144 67.67025654045104
38 40 35 36 511.9007732304808 66.15398889187693
38 40 36 37 479.4227401581235 54.17583141445894
38 40 37 38 442.2506735125071 83.90631670658723
38 40 38 39 445.296191214426 69.67016393057091
38 40 39 40 356.4436744348271 46.43503179154393
38 40 40 41 296.1186999801182 74.94888333251176
38 40 41 42 543.7151139460072 78.36169112550745
38 40 42 43 396.8147966314988 35.93162781857427
38 40 43 44 353.2400172264479 40.99950981162218
38 40 44 45 530.8786053758815 65.53827239487796
38 40 45 46 293.550990027809 82.1639442863635
38 40 46 47 418.465634453169 48.74653791429501
38 40 47 48 398.0043868910694 42.01360422276154
38 40 48 49 352.6468054233059 48.97693930305581
38 40 49 50 416.7798825173298 50.47732020343725
38 40 50 51 398.3705480933774 58.30767713703807
38 40 51 52 360.8773864131958 52.93264047616577
38 40 52 53 397.9092801869719 46.86058722172698
38 40 53 54 319.9496114250305 38.13461362606321
38 40 54 55 417.0117860542072 52.06939408764568
38 40 55 56 255.7216507219807 39.66271804529291
38 40 56 57 434.0974955582377 50.99453709891549
38 40 57 58 325.4120249411711 71.12138653967465
38 40 58 59 318.5407954880234 41.68221407833667
38 40 59 60 336.5208902674726 40.65153756893793
36 40 25 60 37863.40477713534 643.7421688528444
