#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
48 50 25 26 464.4240894427568 59.00794890327198
48 50 26 27 401.2733756324668 39.98818086366884
48 50 27 28 394.2939027935292 55.44116450123348
48 50 28 29 380.5539473691351 34.66675486679517
48 50 29 30 344.7786950515956 60.02740234869334
48 50 30 31 414.9875286034006 54.72540090970084
48 50 31 32 347.3521560476966 42.43996165658807
48 50 32 33 305.3609936236151 35.97227726803106
48 50 33 34 232.9571044271795 29.83326776471498
48 50 34 35 302.1001724008598 48.77340393520431
48 50 35 36 256.0019943917233 34.9862637728552
48 50 36 37 280.0954338695477 27.51540112414708
48 50 37 38 199.5559121373678 26.99806933078802
48 50 38 39 262.4895568337039 44.06690234320404
48 50 39 40 213.0549134042448 25.88363971670296
48 50 40 41 206.6390037723792 23.250231927909
48 50 41 42 234.6568769678456 50.37224565543161
48 50 42 43 228.9290811919624 23.07909122388183
48 50 43 44 154.6967576923251 30.22342598365899
48 50 44 45 224.1589988773977 39.6336212193912
48 50 45 46 128.0660756110885 28.34533535225996
48 50 46 47 223.864213408141 15.16430994380661
48 50 47 48 166.0802543975352 26.87404047882901
48 50 48 49 185.5603464596829 20.28475076116574
48 50 49 50 215.036206166764 40.0170051481035
48 50 50 51 210.4547731947927 36.38623850047799
48 50 51 52 198.2233430812657 30.54930834587599
48 50 52 53 205.3453595944137 20.93764580796024
48 50 53 54 196.6042855383287 14.231738950822
48 50 54 55 102.8428407364624 22.49308216036187
48 50 55 56 143.4109523842506 16.78055130630956
48 50 56 57 158.3589488351493 20.00989491711502
48 50 57 58 208.694444420574 22.06137766466689
48 50 58 59 213.8359192767743 23.67256994993107
48 50 59 60 43.94141919104074 20.79292281972326
50 52 25 26 443.3281601935785 49.89085619769481
50 52 26 27 383.7347744569275 34.13101355557036
50 52 27 28 367.7843407992759 45.62368134159937
50 52 28 29 395.4430508273181 45.93282300568279
50 52 29 30 294.6376587804173 43.56931658916794
50 52 30 31 333.3138370691948 28.1673631283439
50 52 31 32 322.4904052167508 34.64153978307538
50 52 32 33 282.9262199112586 26.74292325422387
50 52 33 34 271.2216154519511 32.05425211549262
50 52 34 35 232.5903899426314 27.33279109065586
50 52 35 36 261.2672034493664 25.52575695304736
50 52 36 37 231.4002046204047 22.8895497183266
50 52 37 38 199.2902052825195 20.58892142551414
50 52 38 39 263.2669494596483 28.96419630373317
50 52 39 40 160.5387309134233 27.14610500469082
50 52 40 41 198.9468011055957 27.89412247975873
50 52 41 42 192.2778120788231 21.44043510147904
50 52 42 43 225.1543042814049 30.72295373216279
50 52 43 44 179.6057298684295 25.12297164712785
50 52 44 45 147.1479179779153 26.65155786994719
50 52 45 46 131.8389876590538 30.92860157702736
50 52 46 47 171.6955993314896 21.59949456182267
50 52 47 48 151.4295875572476 22.73905616819317
50 52 48 49 174.5927734781489 18.75803311723084
50 52 49 50 181.693365833106 24.99239796909277
50 52 50 51 128.9386812709426 21.65083282097395
50 52 51 52 162.9151988981883 14.41894973950587
50 52 52 53 134.4981373451765 11.12394578446003
50 52 53 54 111.4008491260664 36.86422463502747
50 52 54 55 163.0727930257702 22.63144074739162
50 52 55 56 167.8438438677355 15.76359697815628
50 52 56 57 165.3565472933155 26.22642859332011
50 52 57 58 131.1693549378735 21.20987788405057
50 52 58 59 155.4328107451224 21.15341086093951
50 52 59 60 138.987598046089 14.66773810039464
48 52 25 60 16105.91231692916 267.6408333206093
