#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
12 14 25 26 2146.773083778875 3.900157894689185
12 14 26 27 2410.75189055394 4.076900440188115
12 14 27 28 2737.999527847344 4.449966609052912
12 14 28 29 3089.89269331111 5.192826602092921
12 14 29 30 3423.536362932658 5.963564068634554
12 14 30 31 3874.78352821318 7.170220996536176
12 14 31 32 4481.291281628282 7.879414193551399
12 14 32 33 5275.775816555541 7.093977967793658
12 14 33 34 6701.660568947215 10.90264519716916
12 14 34 35 8731.729386217641 11.85800074690163
12 14 35 36 7776.857015752445 11.45945194422622
12 14 36 37 6905.228969257259 9.633204443472088
12 14 37 38 6580.825309999979 10.56237995398573
12 14 38 39 6448.912380096226 9.6701579003599
12 14 39 40 6280.326985852103 9.02623813292043
12 14 40 41 6030.980912723166 8.37027786630655
12 14 41 42 5840.374844647098 8.658706923443907
12 14 42 43 5691.342495780958 9.178715102271173
12 14 43 44 5602.402280939166 8.996981312345362
12 14 44 45 5528.471953858502 7.840558217934362
12 14 45 46 5463.358513729549 6.730663844580273
12 14 46 47 5310.444591100149 6.661379115005372
12 14 47 48 3130.091564694862 4.86656124803101
12 14 48 49 1008.114061591946 1.834746786005237
12 14 49 50 461.0317914514705 0.9443221684300853
12 14 50 51 266.1520564921049 0.4764186507140991
12 14 51 52 166.4536210588463 0.3078853300084607
12 14 52 53 106.8315324285633 0.1693343132373513
12 14 53 54 67.55733268629905 0.1388133679714815
12 14 54 55 40.34874013145516 0.07772882551093739
12 14 55 56 20.33880329233695 0.1483189609571141
12 14 56 57 5.674519007834563 0.1145236278466408
12 14 57 58 0.03065740200975031 0.0001847184938770266
12 14 58 59 0 7.021668341487211e-20
12 14 59 60 0 7.021668341487211e-20
14 16 25 26 1939.225006391937 3.233866594662465
14 16 26 27 2192.182444634852 3.987453758738195
14 16 27 28 2449.016413296822 3.970137520620389
14 16 28 29 2729.00323676675 4.165684223614291
14 16 29 30 3062.513393105696 4.87276166770626
14 16 30 31 3516.430099391533 5.710920625430827
14 16 31 32 4110.382793318574 6.640956983874397
14 16 32 33 5084.845044991598 7.257781627511215
14 16 33 34 6861.653210649144 8.000443381134318
14 16 34 35 6320.291648496915 8.365881515666157
14 16 35 36 5458.366532996277 7.65491040570833
14 16 36 37 4980.696999117788 7.024961917270889
14 16 37 38 4691.076592349861 7.650151621316243
14 16 38 39 4560.718642884007 7.926700540337615
14 16 39 40 4644.503614518208 6.60762688831942
14 16 40 41 4745.339860380891 6.442498512499411
14 16 41 42 4649.355937377642 6.836731876950415
14 16 42 43 4570.744997261836 7.391685257923831
14 16 43 44 4490.288981285266 7.297801125483385
14 16 44 45 4447.405344699882 6.462896745354301
14 16 45 46 4417.491626113892 6.277001741754137
14 16 46 47 4384.354923172436 6.282831235717073
14 16 47 48 4341.375483961219 5.411925197221374
14 16 48 49 2944.640101092704 4.213941341359371
14 16 49 50 973.8362005678434 1.607831615010197
14 16 50 51 414.3469826118605 0.8256672363897382
14 16 51 52 232.130285442747 0.5655367283248265
14 16 52 53 144.2785143989885 0.2100729760776501
14 16 53 54 92.37296373386054 0.1577705317359689
14 16 54 55 58.71827651075161 0.1017865611599431
14 16 55 56 35.62433281224647 0.07219133566393433
14 16 56 57 18.64633054041158 0.06540203083510036
14 16 57 58 6.018058360778931 0.06069526367678563
14 16 58 59 0.07531873352204978 0.0002827902922329544
14 16 59 60 0 7.021668341487211e-20
12 16 25 60 225174.2952659288 50.24882485431856
