#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
88 90 25 26 42.86192880577787 0.1587882911677401
88 90 26 27 42.38567106705088 0.1687857113154093
88 90 27 28 41.54803813310541 0.1550984240886537
88 90 28 29 39.92746833197604 0.1612566153824335
88 90 29 30 39.41014721502779 0.1443968297040741
88 90 30 31 39.09747090456733 0.1588087714004339
88 90 31 32 38.06917984173788 0.1572498062034382
88 90 32 33 37.31750973641541 0.1457499520962469
88 90 33 34 36.9520247308094 0.1424703005844005
88 90 34 35 36.68113991918155 0.1601314808520714
88 90 35 36 35.59913731918209 0.1530261899759426
88 90 36 37 34.9363901595535 0.1319501734043131
88 90 37 38 35.80086673844066 0.1308576020408237
88 90 38 39 34.29198421687628 0.1324483597733021
88 90 39 40 33.75246807864323 0.1239446000666054
88 90 40 41 33.57337087912035 0.1200243715887788
88 90 41 42 33.16616572695118 0.1203671258394528
88 90 42 43 33.32868405275848 0.1267532411433309
88 90 43 44 32.33352513194323 0.1162622230895759
88 90 44 45 32.47118274116735 0.1187031378264887
88 90 45 46 31.88800304320431 0.1202620266312008
88 90 46 47 31.58076129358633 0.1168110303795823
88 90 47 48 31.57518833319984 0.112703725379927
88 90 48 49 30.97454417647698 0.1207901467127111
88 90 49 50 30.81344045231152 0.1104707514886826
88 90 50 51 31.00907866092287 0.1135810317325301
88 90 51 52 30.28540356915255 0.1129611520008542
88 90 52 53 30.14726262463224 0.1109301732189117
88 90 53 54 29.89538662443185 0.1222208479183232
88 90 54 55 29.90825293371837 0.1143024609738332
88 90 55 56 29.98578069745829 0.1183402946117272
88 90 56 57 29.34738963493321 0.112021597785245
88 90 57 58 29.11124847290961 0.1093176556307335
88 90 58 59 29.26791403341282 0.111319940320785
88 90 59 60 29.24807913574514 0.1090360494912532
90 92 25 26 39.27186581571496 0.1497953920728237
90 92 26 27 38.12327013757661 0.1454419598412287
90 92 27 28 37.97329952287286 0.1447091484681997
90 92 28 29 36.45031897700843 0.1577702518108612
90 92 29 30 35.76659721724812 0.1336402852813254
90 92 30 31 35.74952122961139 0.1416532525052366
90 92 31 32 34.73751109346951 0.1454071909865992
90 92 32 33 34.04735059602569 0.127974110674513
90 92 33 34 33.48940869879909 0.132552841070815
90 92 34 35 33.56662977306065 0.1337577687829705
90 92 35 36 32.89008002960984 0.1423575182488814
90 92 36 37 31.90139470449726 0.1228508640066463
90 92 37 38 31.85628471395903 0.117986251994714
90 92 38 39 31.69986682012803 0.1255123432102615
90 92 39 40 30.83941733782734 0.1156442675910735
90 92 40 41 30.49578885159975 0.1154802108223076
90 92 41 42 30.37705327513737 0.1120693208469012
90 92 42 43 30.21345171821236 0.1193721654932674
90 92 43 44 29.81204815926761 0.1083495440107835
90 92 44 45 29.37830852304253 0.1072860883992191
90 92 45 46 29.24797914877063 0.1112402515427829
90 92 46 47 28.74708737841729 0.104716120180861
90 92 47 48 28.77734212866178 0.1083407237947436
90 92 48 49 28.49990963167548 0.114490529807243
90 92 49 50 27.94229445339392 0.1043852864462057
90 92 50 51 27.85003035352898 0.1095826203590559
90 92 51 52 27.8371836921185 0.1045710745823377
90 92 52 53 27.31056281053695 0.1056314296092325
90 92 53 54 27.29171978859496 0.1000370007228782
90 92 54 55 27.14439660500546 0.1042173607228782
90 92 55 56 27.26216186542125 0.1066279593901339
90 92 56 57 26.95062351880446 0.1029962264719339
90 92 57 58 26.5736530221047 0.1001074920158289
90 92 58 59 26.66381844749765 0.103671299819037
90 92 59 60 26.68803515656476 0.09900505581448704
88 92 25 60 2271.968352612145 1.053687811220803
