#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
8 10 25 26 3083.737995251558 330.5836775366402
8 10 26 27 3360.595263135636 165.6425795393336
8 10 27 28 3412.89857118064 174.7328379177409
8 10 28 29 4273.898179792292 214.0195599290287
8 10 29 30 5312.682830200125 269.3437292051253
8 10 30 31 5618.74147036515 323.389287702069
8 10 31 32 6169.759423479531 269.1200834430916
8 10 32 33 7021.868083090952 429.607639292208
8 10 33 34 7030.984405280244 691.9822447149032
8 10 34 35 10550.29955624538 431.1164133608968
8 10 35 36 14046.96287620263 666.1370022520106
8 10 36 37 15050.0004750243 534.5185682615604
8 10 37 38 13769.9087174665 506.8936645996479
8 10 38 39 11579.0692382993 558.3674680315906
8 10 39 40 11010.12681868912 377.7489682705955
8 10 40 41 10689.65996703975 455.2766411696436
8 10 41 42 10357.75662130924 501.1705889259323
8 10 42 43 9440.580456969052 378.9913023607348
8 10 43 44 9559.482559153141 400.0003035597261
8 10 44 45 8626.876532567037 251.8132131044877
8 10 45 46 3693.574463214606 271.6697841678221
8 10 46 47 1263.880468432424 58.94688891504067
8 10 47 48 316.0595831737037 47.27979319253431
8 10 48 49 -189.7469984655164 21.48486063248449
8 10 49 50 -170.8945238433524 12.51798943750258
8 10 50 51 235.8247239145286 1.434965224986517
8 10 51 52 -19.35838774600291 0.3276688782516275
8 10 52 53 -11.7829257350288 0.05583938652147509
8 10 53 54 -3.033570369306761 0.1113926343422519
8 10 54 55 -1.12291342282416 0.005912105023136881
8 10 55 56 -0.006888544518131569 3.85146693962675e-05
8 10 56 57 0 4.234224863726249e-20
8 10 57 58 0 4.234224863726249e-20
8 10 58 59 0 4.234224863726249e-20
8 10 59 60 0 4.234224863726249e-20
10 12 25 26 2489.297162973098 140.5671760798874
10 12 26 27 2653.621160889543 143.9878426573129
10 12 27 28 3062.988848738418 229.6539029660541
10 12 28 29 3574.646012744423 138.0585625082745
10 12 29 30 3890.038106290126 207.8207377400304
10 12 30 31 4923.484119720215 320.8506515508222
10 12 31 32 5344.628704833289 245.8866285282477
10 12 32 33 6352.323705706598 514.3681972170381
10 12 33 34 7376.404026906321 393.2563347192058
10 12 34 35 9527.619708653188 379.7730438148454
10 12 35 36 11474.05937252735 421.2044748492222
10 12 36 37 10753.60629146603 587.364103504182
10 12 37 38 9023.934550419326 369.132189540678
10 12 38 39 8288.829459689339 704.9068399003073
10 12 39 40 8331.020554584347 371.2368590710451
10 12 40 41 8260.750825712046 573.1929469616816
10 12 41 42 7157.061617241641 365.1963141499758
10 12 42 43 7749.177409235777 317.5952416220298
10 12 43 44 6900.98379711077 253.8945975542599
10 12 44 45 6611.871235811981 429.7063054368348
10 12 45 46 6889.767279920497 287.1093018069994
10 12 46 47 3418.643403054046 243.7329781311898
10 12 47 48 1123.928157470126 54.77613559083623
10 12 48 49 -175.0178525040442 23.34822436250178
10 12 49 50 -174.2715574609809 19.75483326618299
10 12 50 51 -7.592691154392298 21.81952524533679
10 12 51 52 -19.44949079451736 2.710415950861076
10 12 52 53 -52.43319361827187 5.757526740318204
10 12 53 54 -5.119705285410821 0.04162911631141028
10 12 54 55 -2.511606974399406 0.03022484838857177
10 12 55 56 -0.6144748165847558 0.005226486789457766
10 12 56 57 -0.008590845255451146 3.639664904439314e-05
10 12 57 58 0 4.234224863726249e-20
10 12 58 59 0 4.234224863726249e-20
10 12 59 60 0 4.234224863726249e-20
8 12 25 60 319820.949419595 2606.197563642188
