#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
8 10 25 26 2987.196913581768 293.6863816502105
8 10 26 27 3418.778846485026 202.1615890286402
8 10 27 28 3486.134928330704 219.4456578149733
8 10 28 29 3954.834049449268 439.3321900127449
8 10 29 30 5178.988151300547 369.7456676877827
8 10 30 31 4920.018337775306 320.5109426941322
8 10 31 32 6645.28874578597 528.2704313090197
8 10 32 33 6696.000073661218 741.9130939448509
8 10 33 34 8192.360595001319 410.3697875132101
8 10 34 35 10707.7094062087 828.201735454282
8 10 35 36 14107.92637397419 1325.598850051492
8 10 36 37 14596.15961864684 754.6274815018227
8 10 37 38 13066.73968119682 759.4548207741549
8 10 38 39 12340.95166317079 804.5423750662826
8 10 39 40 10330.09353823161 791.9436309117366
8 10 40 41 10900.21485477194 776.0945197384638
8 10 41 42 9642.663594323341 740.0005813277131
8 10 42 43 10830.76923564627 541.9395296475888
8 10 43 44 9949.336786856429 1051.468671874317
8 10 44 45 8173.691896512071 387.8630122731016
8 10 45 46 3890.576340526682 179.2364116877532
8 10 46 47 1386.172757841131 72.10992631164996
8 10 47 48 530.7813756815345 42.45401578644603
8 10 48 49 -230.186203280458 26.31430234975116
8 10 49 50 103.4627393188671 21.54847327224083
8 10 50 51 225.6024457369766 3.305426756066784
8 10 51 52 -26.50805320395579 0.3557770827984993
8 10 52 53 -16.04289062860632 0.05773213520219523
8 10 53 54 -6.687955903853359 0.05632547170165635
8 10 54 55 -1.561211567005812 0.0060737415723317
8 10 55 56 -0.01013077881832142 3.976163147464773e-05
8 10 56 57 0 4.234224863726249e-20
8 10 57 58 0 4.234224863726249e-20
8 10 58 59 0 4.234224863726249e-20
8 10 59 60 0 4.234224863726249e-20
10 12 25 26 2556.216723102826 287.3303219635513
10 12 26 27 2405.969029687008 160.0643509010406
10 12 27 28 3018.0008403553 355.5000129606531
10 12 28 29 2960.851129792262 418.0144978855175
10 12 29 30 4109.634866130393 422.8226916750043
10 12 30 31 4854.511637190702 313.5688655268746
10 12 31 32 5530.681656325267 413.0861503534337
10 12 32 33 5998.517268411148 383.5504435950857
10 12 33 34 7063.580366253545 788.2098086272491
10 12 34 35 9272.36989166115 624.624152138133
10 12 35 36 12462.48708280347 809.4009718597885
10 12 36 37 10674.59305805654 561.6314304511202
10 12 37 38 11350.55070814375 925.6660126091997
10 12 38 39 8857.272183559198 721.4710722414801
10 12 39 40 7901.118661289494 425.9296869499377
10 12 40 41 7510.123102384048 730.7909452742769
10 12 41 42 7850.558282207257 533.8601939217941
10 12 42 43 7230.78446280734 820.8940224110617
10 12 43 44 7214.142261950893 415.4165730143466
10 12 44 45 7225.043931793793 388.8296933630496
10 12 45 46 6472.144915793456 380.8954925840152
10 12 46 47 3230.900858107856 222.0323499012981
10 12 47 48 1015.403266665242 84.10700755949182
10 12 48 49 -319.1291687657567 44.23953790189127
10 12 49 50 254.9286069020992 22.04705341344198
10 12 50 51 -6.194074240499219 18.59751355023892
10 12 51 52 -30.19428074674694 4.469943520334472
10 12 52 53 -27.61927513234724 3.606000599114241
10 12 53 54 -9.134482465589356 0.04333826010317533
10 12 54 55 -4.461488554511124 0.03176027734753451
10 12 55 56 -1.099512329903446 0.005370984080175395
10 12 56 57 -0.0168407060161998 3.827811350087682e-05
10 12 57 58 0 4.234224863726249e-20
10 12 58 59 0 4.234224863726249e-20
10 12 59 60 0 4.234224863726249e-20
8 12 25 60 322603.9921730856 3971.814021291305
