#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
48 50 25 26 421.7799959120728 70.47743707232517
48 50 26 27 547.0662896911263 71.23653331807974
48 50 27 28 362.6182444399536 51.28332850260802
48 50 28 29 315.8822450539026 56.4066064821339
48 50 29 30 315.5254835854665 47.31875471940838
48 50 30 31 382.7501335130091 39.76346084003745
48 50 31 32 286.0491417661776 66.53583072452784
48 50 32 33 397.8060877525627 54.77554942100215
48 50 33 34 229.5289705696586 39.64056526137119
48 50 34 35 269.7508288335248 27.56267168779276
48 50 35 36 297.6461787137374 24.49199097239545
48 50 36 37 271.8639506395628 28.83173587337906
48 50 37 38 221.4044301843498 33.77636214372972
48 50 38 39 245.1999735867873 36.32465032149924
48 50 39 40 229.7387099791986 28.77998598361073
48 50 40 41 296.3736356455379 42.39460899881812
48 50 41 42 255.1178906212897 40.14354003840278
48 50 42 43 246.1279811692275 22.0386576760212
48 50 43 44 203.7609994126402 29.69954654229142
48 50 44 45 165.5781207798009 30.30278388426323
48 50 45 46 256.310213287372 39.94761149988614
48 50 46 47 192.7717684170971 19.21295654913986
48 50 47 48 169.3580788385723 34.07834617473394
48 50 48 49 192.7537863312569 26.77296538373466
48 50 49 50 268.612148582691 25.82739971776246
48 50 50 51 166.2827608750404 26.63890185618396
48 50 51 52 177.8304937137918 9.530991087866521
48 50 52 53 147.0729008179395 26.50641114113705
48 50 53 54 243.3949141774417 25.10122123076777
48 50 54 55 109.8359238192291 31.9541625161907
48 50 55 56 184.2906118010982 18.4314305146567
48 50 56 57 171.1578823167189 43.51753281203755
48 50 57 58 145.2201010293145 22.02396478935495
48 50 58 59 191.3447900636507 32.97469753867541
48 50 59 60 153.7814545806104 15.04065228044001
50 52 25 26 436.4023782403596 54.03756147443367
50 52 26 27 400.5499425801319 52.23798127591245
50 52 27 28 338.7336034195429 50.79075614536346
50 52 28 29 286.2475935669275 78.6158988958291
50 52 29 30 313.423713405217 45.01795648228099
50 52 30 31 234.178603057036 42.21100379194717
50 52 31 32 239.4154683452871 42.55563878318439
50 52 32 33 362.2795376568481 77.22930151994882
50 52 33 34 267.7480113487247 37.65991983619021
50 52 34 35 270.7605497005564 20.73902201200759
50 52 35 36 237.5187008322405 38.96515610798588
50 52 36 37 181.3324443059458 28.02882656330555
50 52 37 38 177.8236479016575 9.528401771961127
50 52 38 39 181.9132355579929 39.72664268784338
50 52 39 40 251.2766082247816 45.12403644854163
50 52 40 41 177.897187901156 31.27751530424109
50 52 41 42 249.2429600432346 30.96775610369644
50 52 42 43 181.6318424728797 25.53905183363473
50 52 43 44 232.5660819573739 28.44959704867058
50 52 44 45 157.5076134978349 21.52427530497424
50 52 45 46 109.1529578774506 29.50573136493203
50 52 46 47 169.8363643438447 25.53186685860313
50 52 47 48 187.4309771401432 38.7179297038893
50 52 48 49 174.5218890572958 19.00015542018209
50 52 49 50 199.1450953438021 29.66377481565461
50 52 50 51 141.2076680148474 20.30539340564956
50 52 51 52 169.2073332506669 19.21786171776603
50 52 52 53 123.0804073191161 20.0633525641234
50 52 53 54 194.1241979634802 33.06067849543014
50 52 54 55 155.0821357205882 25.06068530526508
50 52 55 56 170.922265454177 18.74238230415332
50 52 56 57 168.3842350473549 17.44519230974334
50 52 57 58 169.333909426085 36.34535627861192
50 52 58 59 138.8930573374756 19.90248168563851
50 52 59 60 71.93789931114219 21.67943462259834
48 52 25 60 16252.29723712462 315.0648619279723
