#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
4 6 25 26 3516.835594922333 351.2544180772759
4 6 26 27 4393.327387250172 246.1631669012082
4 6 27 28 5284.002967964359 388.0036816005222
4 6 28 29 5192.589383185237 404.7060108919435
4 6 29 30 7107.392570540647 235.8192957205636
4 6 30 31 8995.110295392395 421.0087549987763
4 6 31 32 8755.648462295263 662.0536122247909
4 6 32 33 9283.290578421183 483.8177829931763
4 6 33 34 12066.5271245808 445.2624883927789
4 6 34 35 12370.56744029377 552.1292881971893
4 6 35 36 13690.87495356759 981.2419398670797
4 6 36 37 15919.54553780596 978.2057685163038
4 6 37 38 21494.96981308878 824.0682250573667
4 6 38 39 24781.74531423031 1408.075767281633
4 6 39 40 20308.8049653218 1006.426774427187
4 6 40 41 19163.32906531395 897.7187328710257
4 6 41 42 16515.12940981419 806.4356163414899
4 6 42 43 14635.40108963201 478.9317208487457
4 6 43 44 5598.816071023306 381.1982121091492
4 6 44 45 2160.135952151341 111.6257742016701
4 6 45 46 1240.078189414608 81.42307774412711
4 6 46 47 572.7285247360419 45.91226402381686
4 6 47 48 355.1444265880032 28.38885275109366
4 6 48 49 547.0059957387267 12.5708228610533
4 6 49 50 -103.7052983812587 5.557361664092799
4 6 50 51 -72.53365657615596 0.1375532880433779
4 6 51 52 -29.47522211020217 0.1032192548723705
4 6 52 53 -4.735488149448299 0.006736154065315999
4 6 53 54 -0.001952628675771916 4.471683821683379e-06
4 6 54 55 0 4.234224863726249e-20
4 6 55 56 0 4.234224863726249e-20
4 6 56 57 0 4.234224863726249e-20
4 6 57 58 0 4.234224863726249e-20
4 6 58 59 0 4.234224863726249e-20
4 6 59 60 0 4.234224863726249e-20
6 8 25 26 3101.398932040136 222.6960440795916
6 8 26 27 3909.695070299784 163.5714540215711
6 8 27 28 4175.266778630235 218.6471232477628
6 8 28 29 4798.54884852721 305.5912682040737
6 8 29 30 5387.146768413862 469.9581785102955
6 8 30 31 6172.141583668172 303.7337809233834
6 8 31 32 8206.338185686991 377.5164184052111
6 8 32 33 8966.154130639108 409.3815552552358
6 8 33 34 9775.923742388959 379.7326285833788
6 8 34 35 11297.70068586629 404.6781079573412
6 8 35 36 13892.38535313823 695.9341586114914
6 8 36 37 18631.72970241921 961.0313336687749
6 8 37 38 18494.82338836542 779.8211530464009
6 8 38 39 17063.43541569879 754.2931093352785
6 8 39 40 15182.57392253705 545.6171997480616
6 8 40 41 15291.40025258271 538.377974746316
6 8 41 42 12898.18784580951 658.2246067076144
6 8 42 43 12351.96376593919 499.7895567240897
6 8 43 44 11816.78367912031 514.498204457131
6 8 44 45 4957.362665833758 232.0891219025787
6 8 45 46 1708.244865360084 124.165059459908
6 8 46 47 893.2389414726726 50.16231533943937
6 8 47 48 454.0694708347064 38.28740489671549
6 8 48 49 483.4379043125024 35.17191809326147
6 8 49 50 -120.5392527661023 6.410729727107344
6 8 50 51 -55.38904740756689 0.06712459944158182
6 8 51 52 -56.32017373105636 3.138800577545436
6 8 52 53 -14.27210875516276 0.01904862349523274
6 8 53 54 -2.500126539433439 0.004987758223613177
6 8 54 55 -0.005005763422515574 1.644675714538846e-05
6 8 55 56 0 4.234224863726249e-20
6 8 56 57 0 4.234224863726249e-20
6 8 57 58 0 4.234224863726249e-20
6 8 58 59 0 4.234224863726249e-20
6 8 59 60 0 4.234224863726249e-20
4 8 25 60 443399.4756800493 3833.763599413316
