#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
16 18 25 26 1969.376440638544 108.7624527511947
16 18 26 27 1914.309900478005 99.37840401130626
16 18 27 28 2136.485563205418 100.8239797118925
16 18 28 29 2292.298650002857 246.6381632282767
16 18 29 30 2734.879781654579 142.3279943923976
16 18 30 31 3337.011471980075 227.7117342327851
16 18 31 32 3841.775170207881 226.6101927207837
16 18 32 33 5800.424999093635 256.7290376070794
16 18 33 34 5597.072350567446 208.7599094982703
16 18 34 35 4261.025747689053 241.001760498551
16 18 35 36 4257.046539813328 212.5083229452712
16 18 36 37 4107.528423437087 370.7782587152301
16 18 37 38 3552.494075429791 156.749439756898
16 18 38 39 3393.698183383112 175.8113624577396
16 18 39 40 3178.336525883048 159.641668555743
16 18 40 41 3516.105810396102 155.4912671469723
16 18 41 42 3589.270910530698 456.7424438538851
16 18 42 43 3453.620066714587 210.169056308589
16 18 43 44 3549.466513755749 202.5823234558311
16 18 44 45 3633.51570616348 306.6688551386101
16 18 45 46 3431.015265889687 210.9971337241886
16 18 46 47 3596.456984382231 189.8855157929281
16 18 47 48 4193.613426589432 285.1819951258902
16 18 48 49 3470.786478364425 186.2746995533363
16 18 49 50 3046.926700402163 165.0209515082366
16 18 50 51 943.3381787660883 73.58334874138426
16 18 51 52 382.2516248575979 21.44041087825776
16 18 52 53 99.45868401678105 17.29266259166198
16 18 53 54 -10.22832000390528 9.818593894731302
16 18 54 55 1.428395561576922 0.8042854924912857
16 18 55 56 1.920484763731376 0.06345644384209799
16 18 56 57 1.07483378454453 0.01413618992961909
16 18 57 58 0.5530977693866407 0.01478830058575717
16 18 58 59 0.1975942326677202 0.002499028326868379
16 18 59 60 0.01885414942712593 0.0006000277742703777
18 20 25 26 1577.047174191535 76.06399183074403
18 20 26 27 1884.767521999161 100.2415145084367
18 20 27 28 1848.805637781135 138.5777587024721
18 20 28 29 2280.656464331294 122.5148235205003
18 20 29 30 2676.987700216517 105.8437073433901
18 20 30 31 3422.096734982483 175.3099369785462
18 20 31 32 3639.295122145499 244.6407513488993
18 20 32 33 4587.377775063927 363.7726046866631
18 20 33 34 3928.550494688139 198.1495985603271
18 20 34 35 3231.773944845417 269.275625680856
18 20 35 36 3206.629765749639 127.8736383662
18 20 36 37 2512.830481404163 178.1184531184606
18 20 37 38 2509.47682872361 126.5459120487318
18 20 38 39 2637.229006859301 245.6262453937949
18 20 39 40 2862.222751989806 121.5007380282772
18 20 40 41 2493.726124303745 122.6844159563052
18 20 41 42 2746.89993537671 196.9795349038301
18 20 42 43 2890.893357454813 206.2811543564798
18 20 43 44 2887.021202388984 239.2566266908917
18 20 44 45 3050.816320881946 146.8979202839472
18 20 45 46 2819.875216363649 220.8725250944059
18 20 46 47 2775.784817650578 231.8482713664047
18 20 47 48 2993.642882858201 152.3026541535042
18 20 48 49 3135.068193851854 162.5558446736851
18 20 49 50 3095.75693908837 243.4877632828444
18 20 50 51 2342.701491982361 185.4222957047851
18 20 51 52 1127.915757150889 69.72837378746624
18 20 52 53 282.5739251194062 26.75726148921952
18 20 53 54 48.96510347851573 6.398217053861963
18 20 54 55 18.48120468985546 3.784951805921132
18 20 55 56 8.34036175663768 1.165104612162146
18 20 56 57 2.998620388480206 0.03533297450971504
18 20 57 58 1.614836706865151 0.1312359038859136
18 20 58 59 0.9747547938657964 0.01122125059316713
18 20 59 60 0.3848513091296024 0.005585125455703654
16 20 25 60 164804.7384171167 1500.433810689689
