#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
16 18 25 26 1831.754972409986 3.502145949895207
16 18 26 27 2047.917097690828 4.008228997153152
16 18 27 28 2279.440318068716 3.60179934666886
16 18 28 29 2532.584202660426 4.222533987677324
16 18 29 30 2903.032947836989 4.377172958366026
16 18 30 31 3367.396348310278 5.290418929650792
16 18 31 32 4066.734715928333 5.984038620944241
16 18 32 33 5595.359876238996 7.233695369883244
16 18 33 34 5501.031715343593 8.306104401661639
16 18 34 35 4656.979450995369 8.196593355024721
16 18 35 36 4173.048440260283 5.948067258630878
16 18 36 37 3870.327956990128 5.765750037656313
16 18 37 38 3648.035674874578 5.553076985149331
16 18 38 39 3533.945271347573 5.287898644048436
16 18 39 40 3482.777409889263 5.719741922278818
16 18 40 41 3498.60846408593 5.218465720638134
16 18 41 42 3640.648162196811 5.741093368920287
16 18 42 43 3777.816846201134 5.825170076563649
16 18 43 44 3631.023226305646 5.397274035704001
16 18 44 45 3718.93920829678 6.264417803068521
16 18 45 46 3712.874864690513 5.752179088397174
16 18 46 47 3706.131851712392 5.505143602999988
16 18 47 48 3688.224696664414 5.319192455814976
16 18 48 49 3681.604641281533 4.595665066265497
16 18 49 50 2872.773131564722 4.609103052751464
16 18 50 51 1036.159401832024 1.809250250398491
16 18 51 52 400.3524145181665 0.8456184661935853
16 18 52 53 216.6832700771285 0.4013001499367258
16 18 53 54 132.8595748903664 0.2087372012801157
16 18 54 55 84.8420075535694 0.1496316595517231
16 18 55 56 54.11506293460421 0.1032082564543314
16 18 56 57 33.23565700680267 0.08584272654652501
16 18 57 58 17.98574431356111 0.06317537647270942
16 18 58 59 6.616095215899944 0.08365327394956505
16 18 59 60 0.1231430909944018 0.0005600174200558076
18 20 25 26 1666.344603732314 2.905171152662225
18 20 26 27 1865.653504404008 3.199691883733424
18 20 27 28 2067.952739603305 3.489568672916755
18 20 28 29 2341.486517265394 3.62606031644283
18 20 29 30 2714.273954862441 4.434645395065382
18 20 30 31 3184.335998574552 4.841729257944655
18 20 31 32 4352.380506768024 6.549401109314042
18 20 32 33 4730.849831434726 6.780800148248768
18 20 33 34 3963.88623018681 5.527611334866513
18 20 34 35 3487.478406535798 5.845722345726927
18 20 35 36 3200.947883645892 4.791883827075757
18 20 36 37 2985.595365310297 5.582859295060503
18 20 37 38 2840.601146835981 4.702707094547205
18 20 38 39 2744.709999399422 5.146774499132512
18 20 39 40 2680.766879313122 5.106157769257025
18 20 40 41 2660.917782960618 4.271134689630711
18 20 41 42 2641.997634304992 4.739793625317252
18 20 42 43 2697.868113572037 4.362407427415678
18 20 43 44 2867.828645681791 4.701644649877292
18 20 44 45 3014.868448610336 4.858205607260523
18 20 45 46 3028.401273535831 4.503336324732653
18 20 46 47 3005.149563085586 4.342530407910229
18 20 47 48 3037.12889002176 4.263277751861223
18 20 48 49 3037.385072347163 4.510537961934627
18 20 49 50 3043.605015778002 3.720791935931029
18 20 50 51 2665.395393965819 3.815912738541888
18 20 51 52 1123.270639111063 1.935062943481949
18 20 52 53 389.8966936963733 0.7853027000023538
18 20 53 54 201.4801359729884 0.3511076178767427
18 20 54 55 120.8764195791858 0.1861812233955513
18 20 55 56 76.74081903999641 0.1276427257309505
18 20 56 57 49.17491656338358 0.07962337197657077
18 20 57 58 30.43703466797546 0.06635063009108659
18 20 58 59 17.06716931345674 0.08023118856516735
18 20 59 60 7.234950808499335 0.200021972335477
16 20 25 60 169945.9720437674 37.10994844781249
