#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
44 46 25 26 689.982412898128 1.010223269456959
44 46 26 27 616.3586297223108 0.9344437893929286
44 46 27 28 560.453004020547 0.9403094381480449
44 46 28 29 522.476017861431 0.9321091023438458
44 46 29 30 502.9968382133919 0.8089607830597539
44 46 30 31 469.1842806216122 0.8651499960440099
44 46 31 32 447.9628095406523 0.811568755606467
44 46 32 33 434.1991208121457 0.737973125923336
44 46 33 34 411.3649395436261 0.756217192761351
44 46 34 35 412.3663043759406 0.7525664499831733
44 46 35 36 375.9627936963581 0.6867642972419495
44 46 36 37 383.74921492114 0.6685178400417844
44 46 37 38 363.5214289792389 0.6480603682967274
44 46 38 39 357.3270945045709 0.6248376022448106
44 46 39 40 347.2621843477858 0.6600838611753804
44 46 40 41 325.3813401330693 0.6147938892470984
44 46 41 42 349.394987009876 0.594576511960855
44 46 42 43 305.9511020228612 0.5736756946394119
44 46 43 44 329.6307146115706 0.5901350673784775
44 46 44 45 295.8522357292071 0.567434650582002
44 46 45 46 302.7460618640569 0.57187834842928
44 46 46 47 302.7600456566822 0.5421420128698632
44 46 47 48 283.6192947361693 0.4929369936846787
44 46 48 49 299.8340120773745 0.5443187254049586
44 46 49 50 267.8211170714644 0.516169684203023
44 46 50 51 290.6067975450219 0.4898678711833372
44 46 51 52 268.5612275406689 0.5233617761433392
44 46 52 53 269.1714109433972 0.5034540733212212
44 46 53 54 263.4119887034705 0.4820972804209264
44 46 54 55 265.0500653592109 0.518053292850069
44 46 55 56 265.9870521274649 0.4952374559818908
44 46 56 57 244.6682391154778 0.4688655536592186
44 46 57 58 257.5580943555043 0.4658102921255929
44 46 58 59 247.7670701807347 0.4518929767897453
44 46 59 60 248.3460415545268 0.5203807841988738
46 48 25 26 586.4544651951825 0.9705046227104721
46 48 26 27 535.6782298846512 0.880444096784319
46 48 27 28 495.9109741867478 0.8794763449877729
46 48 28 29 464.5462994672275 0.7456827373861613
46 48 29 30 440.3336657269745 0.8259480917883611
46 48 30 31 424.6757479399598 0.8099346729448166
46 48 31 32 394.8711549937663 0.7398560164810196
46 48 32 33 389.8228805687614 0.7304002479353342
46 48 33 34 370.2642311534037 0.7137859155261368
46 48 34 35 369.9982918926154 0.67615311060807
46 48 35 36 337.0826564388578 0.5899831419337782
46 48 36 37 340.6035014495595 0.6058165647848081
46 48 37 38 331.4217837538434 0.6271088871634676
46 48 38 39 319.5158266683267 0.5645827896024437
46 48 39 40 314.6240974935054 0.5882463567269556
46 48 40 41 291.2243449021236 0.5718836466332714
46 48 41 42 317.4074322519695 0.5005830702428382
46 48 42 43 279.1668712840533 0.5174734702037592
46 48 43 44 284.0418867261722 0.4962927181858099
46 48 44 45 284.2270598454196 0.5115525423658919
46 48 45 46 261.1265955707676 0.4995337694222145
46 48 46 47 273.0049733407487 0.5219560108130016
46 48 47 48 260.0942402266781 0.496846272201322
46 48 48 49 262.4138284461318 0.482093058840296
46 48 49 50 251.4968679916558 0.4691216660015241
46 48 50 51 237.929690478252 0.4479582055547648
46 48 51 52 260.3142806541096 0.4614894199588817
46 48 52 53 233.5794029710476 0.4226866234328177
46 48 53 54 239.3047091479683 0.4525526463889998
46 48 54 55 230.2422175409225 0.4260685519236241
46 48 55 56 234.2841381122942 0.4249210667924878
46 48 56 57 232.4315785653575 0.4665759757016976
46 48 57 58 216.3308435865574 0.4353315118365453
46 48 58 59 225.5284309440977 0.3937985070944601
46 48 59 60 213.8631019601576 0.4032849165923713
44 48 25 60 23783.10227375656 5.272837599646987
