#qTlo qThi pT(l)lo pT(l)hi PDF0  uncertainty
88 90 25 26 38.51678095623028 0.1338439251996641
88 90 26 27 39.82361922597059 0.1422195182990357
88 90 27 28 39.10056655539587 0.1306522442811245
88 90 28 29 36.17099903519406 0.1429614885380808
88 90 29 30 36.7128735640558 0.1215371969348664
88 90 30 31 36.93711817154617 0.133733372297343
88 90 31 32 35.42637157080948 0.1325095803665257
88 90 32 33 34.39945821554319 0.1227840044056253
88 90 33 34 34.71025920621707 0.1203265962011231
88 90 34 35 35.36794649051905 0.1333942144706489
88 90 35 36 32.63621901025871 0.1316637024827014
88 90 36 37 31.79121769284744 0.1110877801938312
88 90 37 38 35.55517138931973 0.1074519521157104
88 90 38 39 31.7431874364859 0.1114141354884732
88 90 39 40 31.39172576633937 0.1078069637010072
88 90 40 41 31.75600846829279 0.1011092523838334
88 90 41 42 31.95948914469133 0.1013509000480977
88 90 42 43 32.1273280337389 0.1068393839972767
88 90 43 44 30.28346266141784 0.09786232835111695
88 90 44 45 31.11632586514344 0.09992666954098157
88 90 45 46 30.64914560207351 0.1011260548779756
88 90 46 47 30.04876292337871 0.09836580414190799
88 90 47 48 30.0377309432399 0.09473328902071847
88 90 48 49 29.03140349477237 0.1015947514859944
88 90 49 50 29.09993832240193 0.1012777515667671
88 90 50 51 30.23433494776147 0.09560451730933298
88 90 51 52 28.45812547176313 0.0950528221117765
88 90 52 53 28.13454940832858 0.09380302918576491
88 90 53 54 27.96317726162756 0.1053119326607411
88 90 54 55 28.41376217636616 0.09473361625696899
88 90 55 56 29.20603240166725 0.09992080085844321
88 90 56 57 27.41378296906345 0.09422021461467892
88 90 57 58 27.24860612667105 0.09200171795613173
88 90 58 59 27.66749496553774 0.09455159654428869
88 90 59 60 27.64861120101647 0.09163282816698888
90 92 25 26 34.99579865465876 0.1260458986444485
90 92 26 27 34.44307890391746 0.1238541359969917
90 92 27 28 35.25812791382907 0.1216259914667449
90 92 28 29 32.91284416420844 0.1329500659619145
90 92 29 30 32.24133118736903 0.1123511866130368
90 92 30 31 33.15087738666997 0.1195651539699808
90 92 31 32 31.73200790719099 0.1242956337959619
90 92 32 33 30.83477556607396 0.1075880315241848
90 92 33 34 30.17682659061058 0.1114525060815136
90 92 34 35 31.64861599219075 0.1124353741995994
90 92 35 36 30.1809857436654 0.1199629533509129
90 92 36 37 28.58564896426617 0.1030749868676505
90 92 37 38 29.58283199620345 0.09934765800394617
90 92 38 39 29.79705059898333 0.1004599410775981
90 92 39 40 27.73986395072101 0.09729633643186403
90 92 40 41 27.93373241991948 0.0971031425995621
90 92 41 42 28.4727800414155 0.09424125131081652
90 92 42 43 28.16392941483057 0.1004513727046363
90 92 43 44 27.67421326415102 0.09108458338382858
90 92 44 45 26.96459414233582 0.09015868972076188
90 92 45 46 27.63983190031162 0.09343713621648927
90 92 46 47 26.64955912865911 0.08800431329277904
90 92 47 48 26.91384885880053 0.09116951667339024
90 92 48 49 26.20002047814896 0.09615928480002005
90 92 49 50 25.66647100604941 0.08765639205025011
90 92 50 51 26.04200927504562 0.09241736349937969
90 92 51 52 26.15702923436232 0.08772814401672495
90 92 52 53 24.91157884011013 0.0887824772866827
90 92 53 54 24.92923611896414 0.08408782341426925
90 92 54 55 24.90227827345995 0.09035626111379381
90 92 55 56 25.58812524291782 0.09233064485225365
90 92 56 57 25.15968377701472 0.08646177131157273
90 92 57 58 24.36266343268105 0.0842302041345499
90 92 58 59 24.38682133995894 0.08694911777753012
90 92 59 60 24.70423163837279 0.08301592166811782
88 92 25 60 2115.484890023754 0.8897696703891608
