#qTlo qThi PDF0  uncertainty
0 1 7925.554508772417 35.81864468202713
1 2 21384.19429973111 73.23466605383379
2 3 30060.68445590517 36.85089027125917
3 4 34189.92625487468 23.73037966384523
4 5 35177.05785251054 16.98954116236076
5 6 34366.54352110127 13.05975663542521
6 7 32659.12043430783 10.21093480738932
7 8 30581.96206360949 8.445567083512499
8 9 28416.16598389346 7.135479860339669
9 10 26310.94419355615 6.1274459403168
10 11 24328.81991587724 5.400165295156488
11 12 22493.16355219068 4.698760127178924
12 13 20803.92076437869 4.498928599154642
13 14 19269.66972600106 3.73813535970389
14 15 17867.69935212077 3.401393766492195
15 16 16590.97978644482 3.074507836607757
16 17 15425.98095380316 2.756933265677739
17 18 14364.78372512677 2.506930159447745
18 19 13394.67236625813 2.3207246370707
19 20 12505.87507704441 2.325524820319844
20 21 11688.47655632015 2.208095118978618
21 22 10938.08540798278 1.968198717427764
22 23 10247.64459332785 1.835775630926896
23 24 9613.000284719252 1.621489549625912
24 25 9026.044231106574 1.504788864647669
25 26 8483.252529095553 1.397418273242927
26 27 7981.521567283068 1.304437429037265
27 28 7516.311182711766 1.235272826287605
28 29 7085.088531076279 1.160578839921177
29 30 6684.417911352541 1.103354022384764
0 30 547381.5615824835 97.19350309456203
