#qTlo qThi PDF0  uncertainty
0 1 8191.947904512053 32.43508843766036
1 2 21755.81144550588 66.29285514507423
2 3 30001.20987738977 33.37015181992822
3 4 33585.05349724837 21.50183370690455
4 5 34172.45566581896 15.40294752443152
5 6 33153.47020827384 11.84682127681402
6 7 31382.5696870775 9.266837680122201
7 8 29331.8358987596 7.670225974301311
8 9 27240.7036628674 6.482799132322288
9 10 25231.54959562045 5.57215993421077
10 11 23352.07868482958 4.913215181712971
11 12 21617.22639188019 4.276766301866277
12 13 20023.40889636 4.09597700210943
13 14 18575.97700312534 3.405299888186892
14 15 17252.99626551468 3.099324719307754
15 16 16047.20110290033 2.803008959635433
16 17 14945.80455170009 2.515091444760457
17 18 13941.13350249234 2.285352103660719
18 19 13021.44524400806 2.117725329685281
19 20 12177.62607854806 2.137342766934451
20 21 11400.50104579867 2.027743917481259
21 22 10685.94386293612 1.804940845190098
22 23 10027.41282882883 1.680517023128714
23 24 9421.11608403621 1.483125330383296
24 25 8859.60692219112 1.374375295455414
25 26 8339.592139278138 1.274715586588339
26 27 7858.218294870116 1.189949694165975
27 28 7411.273518650469 1.127619894381576
28 29 6996.389605396223 1.058426215338701
29 30 6610.387930075814 1.005645200679929
0 30 532611.9473964943 88.02072317387361
