#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 43313.79034606207 206.3755009363902
26 27 45830.75870804577 220.2268177546625
27 28 49374.77512021932 257.4954447870183
28 29 53821.27026153047 284.5758820487209
29 30 58551.88709036022 282.7155672640758
30 31 64519.96245982603 296.4902167744582
31 32 70472.8464462189 310.1117363796617
32 33 75665.59192081841 331.3955436576456
33 34 81611.89409256002 387.5144243166414
34 35 88573.91002324346 465.0780909617199
35 36 94944.33462365303 441.419273948281
36 37 101215.4837954922 448.2543227233115
37 38 107174.7900792231 471.8112096948492
38 39 110931.9239835185 490.6717322643557
39 40 110707.7490294836 551.4083062407071
40 41 102951.736435555 600.2359033353223
41 42 87545.88488926625 394.1179588976481
42 43 72806.77208265485 275.7120601530243
43 44 59658.01785339192 204.1413222408587
44 45 49066.30584964369 163.1240151602036
45 46 40449.53485194541 130.5440362165831
46 47 33713.42773588838 110.7857293686163
47 48 28475.98289526284 96.96702240318707
48 49 24332.66082647782 80.69712294912182
49 50 20745.25008731442 67.24735862194758
50 51 17866.5437513568 56.52833022563847
51 52 15429.43318071019 42.70317983011746
52 53 13564.18078395811 36.42564236447738
53 54 11763.30036251141 30.62642897332132
54 55 10458.14953240537 31.07151479099134
55 56 9117.106949800938 25.20808252054452
56 57 8176.436867240117 21.84076455096354
57 58 7154.366835075797 25.55928250921655
58 59 6453.486501430069 18.46489559088704
59 60 5753.525886564705 17.51922154233099
25 60 1782193.072138709 1691.802540710045
