#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 75281.7824302652 79.14315797666565
-2.3 -2.2 79990.44661405555 81.27495272790794
-2.2 -2.1 83015.40430881502 90.31477156204713
-2.1 -2 85636.44474604304 103.6588446498317
-2 -1.9 89561.65059221775 99.93146392263596
-1.9 -1.8 94327.20270574988 105.8541719960811
-1.8 -1.7 97963.1817837409 111.2269127468517
-1.7 -1.6 100585.5810006201 116.5955297387547
-1.6 -1.5 104451.0038170987 120.5568940162659
-1.5 -1.4 35207.65178465402 130.2980347512376
-1.4 -1.3 36404.21371116149 139.0222254271525
-1.3 -1.2 37113.7967709708 137.8447297351264
-1.2 -1.1 37912.49085690235 162.4133005549736
-1.1 -1 39324.58235624847 166.1033976461304
-1 -0.9 40096.53920472369 174.0208686747308
-0.9 -0.8 41480.1171507358 184.5146747531147
-0.8 -0.7 42004.12084164495 185.5783921695039
-0.7 -0.6 36071.63544172767 187.6710241353163
-0.6 -0.5 43460.90884665401 197.7948495405438
-0.5 -0.4 44237.52688138754 224.7848583680784
-0.4 -0.3 44581.08320046067 186.799770261415
-0.3 -0.2 44270.47957308919 234.1717955019333
-0.2 -0.1 45058.68235926187 230.3705679531963
-0.1 0 44503.18785368513 186.7512647786779
0 0.1 44583.77871653983 188.1866660520531
0.1 0.2 44718.83316128943 194.2811566626651
0.2 0.3 44223.48510150228 210.3267095393766
0.3 0.4 44806.85593705519 188.134660809181
0.4 0.5 44077.42400543633 204.3436435764678
0.5 0.6 43543.82526957587 198.6087153210689
0.6 0.7 36030.40212211772 188.4908997736146
0.7 0.8 41876.42485120483 186.5541556495317
0.8 0.9 41587.9572262041 184.8106738066932
0.9 1 40182.5125638004 173.3286292504508
1 1.1 39298.42777204575 165.0932353366933
1.1 1.2 37969.72677437952 164.9481394078301
1.2 1.3 37024.773979253 136.5117879913293
1.3 1.4 36407.43901401526 140.538299806701
1.4 1.5 35286.17342692089 129.8009458615716
1.5 1.6 104556.7609723364 119.3076687120942
1.6 1.7 100729.0417501301 115.3326755976983
1.7 1.8 98095.40391864287 112.958697269197
1.8 1.9 94412.54900185612 104.9195864973059
1.9 2 89704.3081654034 100.1711345207221
2 2.1 85645.6730177709 91.56418500028062
2.1 2.2 82968.13248637678 87.22199283866479
2.2 2.3 80028.96673441817 82.16427686051134
2.3 2.4 75412.95662895829 83.5503109556837
-2.4 2.4 2845711.547429147 1083.206196595536
