#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 41381.1476488088 167.1954425397659
26 27 44185.05831650273 180.759878874635
27 28 47849.62661894335 213.7366084883815
28 29 52278.4348791993 233.5826321875033
29 30 57126.14226694849 233.3051152995035
30 31 62811.56790355599 242.8025816017289
31 32 68392.073552911 253.874940237558
32 33 73474.30693137101 268.7434237747271
33 34 79270.08908993805 316.9772046801176
34 35 85819.2933012616 336.3516142226879
35 36 91990.71714074686 362.0101288473174
36 37 98004.10616050009 373.2401874090746
37 38 103697.331108555 389.0925709176077
38 39 107807.2532033028 405.174135494185
39 40 107840.7825215191 453.8714835841696
40 41 100249.037232773 491.1412121175078
41 42 85057.9050572774 325.5279741802465
42 43 70494.94290407719 224.5426815035732
43 44 57691.67853988646 169.0368502300326
44 45 47448.86519674199 134.5892428632175
45 46 39226.23783980702 107.8255118723978
46 47 32805.20946380417 92.6827126390225
47 48 27742.30932354955 81.9066448863685
48 49 23739.6007560028 68.16308997292646
49 50 20238.00304951796 57.02382447629534
50 51 17502.97327358137 47.77692706277092
51 52 15126.37212736499 34.7036559078978
52 53 13297.48248367023 30.75807006487002
53 54 11550.46227099404 26.17470681742644
54 55 10253.99901077433 27.5369649094968
55 56 8975.168745536643 20.80799025852894
56 57 8064.144846402405 18.88217009476844
57 58 7050.079720702795 22.04751264580702
58 59 6348.032619577216 15.8588427642698
59 60 5656.187057419998 14.90037530380719
25 60 1730446.622163525 1379.565648012441
