#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 74070.52100299807 78.01579629311898
-2.3 -2.2 78660.2513399765 79.33468247353019
-2.2 -2.1 81654.21699433611 90.60368250665928
-2.1 -2 83987.66614155177 89.43652416229467
-2 -1.9 87898.49289934829 95.49868496092886
-1.9 -1.8 92501.23429010014 102.2165653975679
-1.8 -1.7 95863.54794597357 105.9602074021016
-1.7 -1.6 98569.94600904609 113.3855738858535
-1.6 -1.5 102369.3348903055 117.338027720067
-1.5 -1.4 35004.94387316196 125.0479003945924
-1.4 -1.3 36295.6830861586 136.0723376914838
-1.3 -1.2 36908.92056972302 133.9605653833561
-1.2 -1.1 37603.26283657511 155.6984327148722
-1.1 -1 39096.91639371947 159.1171648843591
-1 -0.9 39865.58035936537 166.4786903609574
-0.9 -0.8 41334.77002843437 177.5811954562506
-0.8 -0.7 41772.98290103272 177.3982686341156
-0.7 -0.6 42613.23165494858 183.2311188917171
-0.6 -0.5 43222.42283398493 189.3556696071294
-0.5 -0.4 43766.59945071297 194.341064900852
-0.4 -0.3 44305.49147538464 181.2329327461851
-0.3 -0.2 44020.34216548988 228.5840929869876
-0.2 -0.1 44794.1293217748 221.3172347588792
-0.1 0 44264.33613454043 184.7674532583171
0 0.1 44338.45837001288 185.3624023636384
0.1 0.2 44572.95682169592 186.3685037160944
0.2 0.3 44056.33380783692 205.0641627945146
0.3 0.4 44558.31162083075 182.8032423375312
0.4 0.5 43809.43286228739 195.3232996229979
0.5 0.6 43264.39049668722 189.7506865559699
0.6 0.7 42534.40930895451 184.3124493598686
0.7 0.8 41668.90577679382 178.166388671846
0.8 0.9 41272.9443849047 177.0904602457869
0.9 1 39943.81296907803 165.8050107497861
1 1.1 39037.02920787642 159.1974255230843
1.1 1.2 37623.2288153414 156.5819026765794
1.2 1.3 36821.77808867217 132.9530676243822
1.3 1.4 36320.54443939171 138.0039427686564
1.4 1.5 35061.96199555628 124.4043956929989
1.5 1.6 102468.5764472912 116.3837329993674
1.6 1.7 98750.19034682633 112.6807227408316
1.7 1.8 96008.42622155391 107.9730858337607
1.8 1.9 92657.71445491402 102.2448451896322
1.9 2 87990.21886556203 94.3051106408404
2 2.1 84079.43328332665 89.2632971954783
2.1 2.2 81536.05230625163 85.53377319784281
2.2 2.3 78666.56175458353 80.00832918245763
2.3 2.4 74140.62571612389 82.39715514766466
-2.4 2.4 2821627.122960996 1041.569757941419
