#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 42446.72117133172 184.8864569777261
26 27 45170.6388796165 199.8941131395632
27 28 48819.43776120292 235.8745686855898
28 29 53352.56337323438 257.9283201627738
29 30 58339.39915304938 258.451192855718
30 31 64167.04999666651 268.6635535087864
31 32 69960.14710263892 280.6986305120934
32 33 75163.47401180607 297.1173436466775
33 34 81171.61858979255 350.2728077644932
34 35 88008.54484284857 370.2179914890088
35 36 94393.81288924531 399.9538158642358
36 37 100608.2018741618 411.3064176341675
37 38 106361.9611301088 429.5598467129056
38 39 110411.3073052116 446.0492312564475
39 40 110169.5355936419 500.2682928693017
40 41 102397.9242801254 542.6815665059523
41 42 87117.86466945193 358.129368529824
42 43 72481.6506487867 252.6681434724722
43 44 59311.5878322634 185.9722455867252
44 45 48749.03405961405 148.3962787356624
45 46 40193.6679842657 119.1281341587563
46 47 33549.54815210674 102.0633333398543
47 48 28301.49408890367 88.86671323017791
48 49 1568.33831199192 73.2876741949247
49 50 20559.23670592105 59.66702992515683
50 51 17729.15861527928 52.27111849711634
51 52 15279.60165199988 38.29648192328758
52 53 13412.00376764736 34.03767134907032
53 54 11617.47356735027 28.65479665879457
54 55 10310.64297383645 29.10088521909178
55 56 8999.310280754918 22.95449786337473
56 57 8082.81850466499 20.76048273799914
57 58 7049.865793094034 24.25639099707809
58 59 6344.401639308639 16.72197542400955
59 60 5649.732051014824 14.95208123221255
25 60 1747249.769252938 1522.731268353667
