#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 37949.21505277885 1135.75956358894
26 27 43016.06242525674 1750.795376873858
27 28 47981.39396572736 1793.48307749975
28 29 54923.19934854558 1358.799182404275
29 30 59755.57907351322 1427.832560787354
30 31 66309.02231450711 1975.275824699064
31 32 72617.6883168763 2509.522734171798
32 33 70528.63505079778 2640.921161015622
33 34 83974.66763158597 2871.152797393147
34 35 85548.1563345585 4229.5081888586
35 36 90173.33227520989 3222.189938490847
36 37 98866.6239655969 3592.777735018727
37 38 111524.8433848899 2698.961703165308
38 39 110759.6575329774 3809.366779065789
39 40 111307.0093893793 4815.015031689443
40 41 104299.6891040404 3449.863884712111
41 42 90527.86337254674 2226.21873281023
42 43 73050.86889300702 1591.610044848718
43 44 58538.36839163072 1139.534521196345
44 45 49757.88508507799 1479.232573887291
45 46 40639.65508815882 1119.573465224317
46 47 34464.76768212696 1816.208106003038
47 48 30537.60841449015 1119.928039554458
48 49 24049.0002757028 679.5946662433236
49 50 21087.28085104601 703.5257241633925
50 51 17744.0389334548 398.1346849445883
51 52 15114.20705250109 551.1463620890094
52 53 13077.75077360442 470.7979998306435
53 54 11004.64023246171 612.9895838046925
54 55 10543.49508386623 382.3315926858687
55 56 8536.286526685464 365.2919190895414
56 57 8916.877963260056 539.7470980177953
57 58 7140.171042081953 334.4672775231492
58 59 6267.637799276176 297.1170132106375
59 60 5951.338982782539 240.844545687293
25 60 1776484.517610003 12432.33555638871
