#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 40068.73450820611 2039.354280318854
26 27 36621.84227150926 2647.972650862032
27 28 48420.66764185712 2221.478731186543
28 29 55601.14244820003 2364.472643591104
29 30 61418.20371050274 2454.142881715991
30 31 66811.49772691756 2334.614581759012
31 32 74063.7434205763 3835.123349179138
32 33 71708.70696382265 2584.909961965951
33 34 85756.84812521073 2839.056757553154
34 35 87770.32070622599 2700.668952301426
35 36 94170.20792637824 2805.613095364948
36 37 100809.3639426973 3280.513773917574
37 38 114076.5950192818 6280.643660217329
38 39 107806.542793568 4317.0953640715
39 40 116708.5346960003 4262.682048965497
40 41 104250.3847010569 5536.055100081559
41 42 96474.03159276152 3929.747977703111
42 43 76337.15520914496 2259.919371645839
43 44 57104.598998709 2635.465420485199
44 45 48174.15749723915 1508.323351413492
45 46 41280.3788374229 1069.404876672084
46 47 32057.07541908019 1229.772568848703
47 48 28355.7474800326 813.122728786572
48 49 23428.22966166009 1141.47050087671
49 50 21061.00889430118 901.1385656630258
50 51 16409.06610454199 821.8255405813004
51 52 16440.51410162261 763.9853154805912
52 53 14012.33554285207 466.8579641310125
53 54 11064.17949312284 1221.866752063145
54 55 10537.0256759784 420.0568441613464
55 56 8918.292869525672 451.9445063747525
56 57 8187.95175436212 367.6440682403941
57 58 7919.795716188139 324.1432448614462
58 59 6724.266597884562 462.6968554547994
59 60 5579.566974878782 308.0462482479491
25 60 1796128.71502332 15315.08284016714
