#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 58003.71206089674 627.7532874799064
-2.3 -2.2 59388.31398703321 932.4710862716913
-2.2 -2.1 63512.56678172247 624.3705759893245
-2.1 -2 64259.42772934705 792.3511771567761
-2 -1.9 66580.18987268268 853.5503964972901
-1.9 -1.8 69056.86943720862 1435.982568639967
-1.8 -1.7 71712.40515585836 953.5346769760431
-1.7 -1.6 72602.24313787065 760.7705794086781
-1.6 -1.5 76217.40415234279 1137.623660028355
-1.5 -1.4 36885.32250697758 1007.061739131375
-1.4 -1.3 36989.55395650087 986.8018493965924
-1.3 -1.2 39001.97313073247 603.0770344872485
-1.2 -1.1 40777.21111756067 1212.43819978565
-1.1 -1 41527.34540138463 1070.538830553137
-1 -0.9 41218.24110958906 905.2176766328797
-0.9 -0.8 41377.71379785278 1199.651751303709
-0.8 -0.7 43168.00442310223 1262.207862571717
-0.7 -0.6 45387.3963725365 1324.670662521687
-0.6 -0.5 46215.23221908112 1026.487420457828
-0.5 -0.4 46934.92998904927 1096.285042032478
-0.4 -0.3 45944.4094242805 959.8824090857712
-0.3 -0.2 46690.16215127789 1536.1562382127
-0.2 -0.1 46322.02354249652 1211.984565603956
-0.1 0 46077.02349523257 1301.138423188324
0 0.1 48042.39471328737 1463.487154583214
0.1 0.2 45421.00076965115 924.8823782750142
0.2 0.3 47415.20651600682 1195.677229184168
0.3 0.4 45209.02905525468 949.8159258198647
0.4 0.5 44316.65225975128 1254.333605873898
0.5 0.6 46700.57575317702 1192.650891467028
0.6 0.7 45880.73288663698 1081.917467117006
0.7 0.8 44257.99876684308 909.2749045922519
0.8 0.9 42305.31614707009 896.25041060755
0.9 1 41058.55148361997 1204.93614218951
1 1.1 39369.86651561638 1532.851702293252
1.1 1.2 39792.11966825966 1058.789511674021
1.2 1.3 38791.18922851508 830.7128250803552
1.3 1.4 39390.68728609811 806.1587337025484
1.4 1.5 35498.82504989796 857.7898226978247
1.5 1.6 77528.46571269428 1248.413622032012
1.6 1.7 73884.9665239739 677.4488795948829
1.7 1.8 73268.53537620613 677.7042000284559
1.8 1.9 72945.0522052132 983.7082908385534
1.9 2 66209.1657995962 810.0577569907384
2 2.1 64027.4353199819 786.8514195365194
2.1 2.2 62394.40058112425 746.6105214853806
2.2 2.3 61383.4257536227 753.764429026244
2.3 2.4 57329.99524783992 782.4430948012152
-2.4 2.4 2498271.263572554 7190.828808722174
