#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 58833.47234433965 729.8627083506318
-2.3 -2.2 60390.1696898393 934.560421143602
-2.2 -2.1 62540.39265789822 894.1997106974579
-2.1 -2 63394.75163290622 712.5489998567482
-2 -1.9 66945.36348518069 664.9862895458629
-1.9 -1.8 70485.53973039055 1654.088081634642
-1.8 -1.7 72785.92427422415 1025.30805315689
-1.7 -1.6 74409.21218245107 1227.84247409824
-1.6 -1.5 77811.91879764551 965.7286976976488
-1.5 -1.4 36696.31086701651 1022.609962078534
-1.4 -1.3 36087.2728026238 1137.081752711125
-1.3 -1.2 38738.43960888461 806.6340125046831
-1.2 -1.1 39619.0344371347 790.5624384121144
-1.1 -1 39148.36651197026 1226.354964467114
-1 -0.9 42223.14697838866 1049.491881404296
-0.9 -0.8 45063.50736756617 1196.604907936206
-0.8 -0.7 45227.71421265422 995.7455465915663
-0.7 -0.6 44085.870946982 1484.314021749572
-0.6 -0.5 45125.05306610159 1116.723915719529
-0.5 -0.4 47097.34236375478 1168.458580133877
-0.4 -0.3 46214.18170774859 1492.160945921939
-0.3 -0.2 44656.23263327917 1852.339237426305
-0.2 -0.1 47809.52731217485 1563.105915185539
-0.1 0 45691.79006619944 991.7731724508582
0 0.1 45859.43227227262 1086.469221584424
0.1 0.2 45646.33737646867 1354.979732703752
0.2 0.3 46911.48232727556 877.9704446564893
0.3 0.4 46805.134287364 1145.49808867066
0.4 0.5 45702.19841793651 1177.943525810162
0.5 0.6 45293.90291516183 946.5065036600847
0.6 0.7 44038.71079236938 1130.385501513218
0.7 0.8 43689.96438256874 1295.140110884985
0.8 0.9 44533.75101999886 1060.760627454658
0.9 1 42078.46152313414 921.1164364707969
1 1.1 42402.68926834752 1527.635820225385
1.1 1.2 38255.95468171081 1058.514176866047
1.2 1.3 37225.34813906084 1188.43692083716
1.3 1.4 39607.68254375752 912.9632894063853
1.4 1.5 34284.35863276868 934.3428200695732
1.5 1.6 75978.45015245845 677.6821015145911
1.6 1.7 73720.81057228653 906.8039721059548
1.7 1.8 70735.17377651604 997.6722246015535
1.8 1.9 71712.82812194129 932.7285643116297
1.9 2 66336.20443536976 945.3136548387164
2 2.1 62844.81946844441 641.3302448158248
2.1 2.2 62409.87893613162 1321.899112251556
2.2 2.3 61761.10599258773 867.6647045551085
2.3 2.4 56365.96649286755 654.3188768202033
-2.4 2.4 2495281.182206152 7628.316801481288
