#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 37772.26124218723 1631.366025282987
26 27 41252.70812521462 1750.865476947924
27 28 50292.62364223141 1255.836154162415
28 29 51142.48496745064 1444.617791249078
29 30 57324.22648322425 1246.250916211405
30 31 64674.93024175926 1302.005543586797
31 32 68552.52499529955 2793.045975170116
32 33 71959.31487903441 1774.855019812404
33 34 81383.99438723846 2886.426538557348
34 35 84374.73861524643 2271.779930712397
35 36 97105.73681543622 2253.88369535563
36 37 103500.0803900152 3355.724507600517
37 38 106814.1433444729 2864.311900630258
38 39 114921.0123532539 2830.690891151847
39 40 101964.7380442213 4344.138760317732
40 41 103122.9411721133 3170.875730171299
41 42 91007.64685103454 1751.887516594687
42 43 72756.40153934418 1149.755164601552
43 44 58064.00547573811 1271.940440341056
44 45 47570.17677347072 1981.481060380004
45 46 40173.26392555973 668.34424716161
46 47 33555.05293035041 685.0093592103375
47 48 28465.3837864173 604.4400159845211
48 49 23347.05424018765 639.645283051949
49 50 21186.69488647565 450.9196468392491
50 51 17528.85072703401 544.9960198482498
51 52 15845.07521082939 526.4067284798947
52 53 13135.8300684367 351.7643861313383
53 54 11462.32537833254 597.92871634319
54 55 10529.64843083167 326.0094476439212
55 56 8929.646356770421 204.5058098044084
56 57 8450.556538800724 242.2002196565397
57 58 7255.77074569039 268.8117610001657
58 59 6491.899768400696 289.1995010825578
59 60 5893.830665326979 246.1040214983703
25 60 1757807.573997429 10577.07030761773
