#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 60838.14562157996 508.6762081032424
-2.3 -2.2 63917.82805324043 570.8572312448534
-2.2 -2.1 68031.6480896323 711.1533886584964
-2.1 -2 67558.02848014867 620.8008435625517
-2 -1.9 70357.63147182242 619.8431348058275
-1.9 -1.8 75627.77946422591 882.8278509339265
-1.8 -1.7 78106.07836122662 513.1297476614484
-1.7 -1.6 78953.81334757509 993.946265903118
-1.6 -1.5 81877.96926639054 820.6947537389842
-1.5 -1.4 36113.22806959807 593.1628992126094
-1.4 -1.3 38067.98130566427 777.6118719626908
-1.3 -1.2 39121.96655554994 904.6244128228384
-1.2 -1.1 40034.89827967591 740.234295251145
-1.1 -1 39871.06667366865 781.8615711309695
-1 -0.9 40713.64653305209 790.1303886453793
-0.9 -0.8 42869.94624176208 835.2394899610611
-0.8 -0.7 41094.41352637758 872.0076815889215
-0.7 -0.6 42384.77322664009 825.5651227585131
-0.6 -0.5 46164.65494084355 1576.024373726621
-0.5 -0.4 43812.36446522694 832.5433918766763
-0.4 -0.3 46414.61008746638 1218.382175104263
-0.3 -0.2 45540.27625617808 926.9976238996677
-0.2 -0.1 45168.15189579228 1283.788502870173
-0.1 0 44510.75284734288 803.4136210525365
0 0.1 47600.89810936427 1075.676608103751
0.1 0.2 46434.37429702681 1389.897920251361
0.2 0.3 45528.7533443057 1129.523421857638
0.3 0.4 44556.40882055523 1001.931678566534
0.4 0.5 44563.42412114874 1070.99719538129
0.5 0.6 44059.7752333481 980.8524927220244
0.6 0.7 41884.04725039545 1369.795251790507
0.7 0.8 43230.68329652883 969.3781926559445
0.8 0.9 42588.30472723246 786.0735349796739
0.9 1 42530.69279506078 629.3379067562072
1 1.1 38910.06772965775 945.7466410154198
1.1 1.2 38429.95240403763 681.6543393582624
1.2 1.3 38255.11370770271 759.9670958941748
1.3 1.4 38336.42700576276 723.2656909721795
1.4 1.5 36442.92819650813 784.4562121389566
1.5 1.6 81561.13459887489 651.5482900609784
1.6 1.7 81949.56315873901 845.6925422139095
1.7 1.8 77059.82677924313 571.5456817968575
1.8 1.9 75383.48345236795 586.0984227579518
1.9 2 70814.25559524843 704.2717208761129
2 2.1 67240.84132848083 735.2653678090248
2.1 2.2 66644.73455266187 588.0566985349443
2.2 2.3 65105.60269936526 486.5777182962444
2.3 2.4 60907.1158000235 887.9726723215507
-2.4 2.4 2557170.06206432 6056.143390192891
