#qTlo qThi PDF0  uncertainty
0 2 78722.69557471573 336.8650577560383
2 4 175635.4602473888 454.0636485410155
4 6 193281.423983256 256.6780611832816
6 8 176317.0223246095 182.4459511837726
8 10 151733.2557250968 150.6791717004782
10 12 128591.3415200737 135.9685683820923
12 14 108907.3958343288 131.3907283974912
14 16 92615.18328964726 68.71812198782642
16 18 79177.57369295847 49.25318775528763
18 20 68004.48321174315 52.74914202748332
20 22 58744.40071343902 57.43919855594826
22 24 51007.52229654461 23.66461306407497
24 26 44461.92601120656 18.19503848128013
26 28 38902.50279264875 14.04603694380432
28 30 34138.81784263074 11.36027105243398
30 32 30032.68541781033 9.559403682170698
32 34 26468.50334291396 7.526150487519843
34 36 23353.81771954279 5.958487335094221
36 38 20601.37631260736 5.66362970472694
38 40 18103.59237471816 10.13490463453137
40 42 15790.43594375692 7.204534336603096
42 44 13879.94128737043 11.41871946249409
44 46 12333.98746547811 5.549184240804556
46 48 11057.6586325797 5.953300028815551
48 50 9995.693962077599 6.706936489635631
50 52 9108.647948260012 5.623584480919666
52 54 8351.253079480039 3.279939539949146
54 56 7662.201521757865 6.162198135402291
56 58 7072.409320908675 6.870080209896565
58 60 6526.367758274738 5.092810405104329
60 62 6045.518280771024 4.183377163187789
62 64 5592.279421871659 5.920314889468616
64 66 5125.583076024757 5.00582561368381
66 68 4675.578156753518 2.920439780487964
68 70 4239.882405617908 3.108825325846526
70 72 3827.897133894508 2.597795383316898
72 74 3435.579306859549 1.81615830028047
74 76 3072.083771701156 1.028624166256076
76 78 2743.867280126831 1.625750334728089
78 80 2452.320959150666 1.73061353126919
80 82 2197.172707573747 0.7750396421540684
82 84 1968.30084854909 0.6352832195460065
84 86 1770.639272158163 0.577556323120416
86 88 1601.475198752395 0.5273276538611895
88 90 1457.713481581037 0.4843494013157577
90 92 1333.733966801149 0.4475177467121663
92 94 1227.252521838826 0.4181237781830934
94 96 1135.299121659669 0.3814329192049687
96 98 1055.643246330854 0.3634858379001317
98 100 985.6206665425699 0.339448069392812
0 100 1756523.017972385 701.8581777041243
