#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 88634.48794269876 96.32508439963556
-2.3 -2.2 94189.52330860279 103.3433263320672
-2.2 -2.1 97741.74291381176 111.764959428909
-2.1 -2 100956.5734971657 128.5202656514701
-2 -1.9 105517.1885195449 121.1279877884231
-1.9 -1.8 111046.4583272693 129.3788169047872
-1.8 -1.7 115252.6191201099 135.4311001774657
-1.7 -1.6 118508.2334124108 143.759664150718
-1.6 -1.5 123041.7224429259 148.9253635460219
-1.5 -1.4 37110.21624241232 161.2613203673868
-1.4 -1.3 38310.33166221439 172.1242246455073
-1.3 -1.2 39033.34982158857 170.635927646921
-1.2 -1.1 39836.40698364456 197.6551075860889
-1.1 -1 41360.32054069416 206.5966049716678
-1 -0.9 42164.24328480354 216.8661364278475
-0.9 -0.8 43649.46757602329 227.3655731081392
-0.8 -0.7 44196.98047498094 231.5717683401434
-0.7 -0.6 36715.64315619208 231.1580248084117
-0.6 -0.5 45776.05985849886 244.6447925016238
-0.5 -0.4 46575.11172604296 278.7345207383653
-0.4 -0.3 47039.53836988119 230.2436452195249
-0.3 -0.2 46555.14043113196 291.4868473992073
-0.2 -0.1 47550.20350206675 281.6804691692222
-0.1 0 46908.616700021 234.4479123109987
0 0.1 47007.00276012656 236.2045623808501
0.1 0.2 47128.52924319304 236.3091541524275
0.2 0.3 46497.15184907085 262.0940997083454
0.3 0.4 47319.56907059089 231.935898175773
0.4 0.5 46370.47529012419 253.4253378383958
0.5 0.6 45870.8210256641 245.6302732032246
0.6 0.7 36663.73017675251 232.2138111160077
0.7 0.8 44042.89137010732 232.7722584230887
0.8 0.9 43783.62609016742 227.7693137927151
0.9 1 42274.81878873408 216.0196366504116
1 1.1 41327.42909842766 205.3408687185343
1.1 1.2 39899.64714401277 200.8987626647324
1.2 1.3 38924.76155624552 168.9984524434216
1.3 1.4 38314.5636258348 173.9959728096921
1.4 1.5 37210.53650970841 160.651573429197
1.5 1.6 123174.1907474264 147.4003923779189
1.6 1.7 118676.5760955435 142.1703416683144
1.7 1.8 115416.1166838024 137.5959194803282
1.8 1.9 111142.5295092596 128.3038172817444
1.9 2 105697.5560193978 121.508102747381
2 2.1 100961.3228030624 113.3733481657671
2.1 2.2 97681.9387000619 107.9002564858152
2.2 2.3 94233.64447177399 104.4379307636559
2.3 2.4 88796.29459136417 101.9524346422078
-2.4 2.4 3196085.903035189 1339.43071714178
