#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 44419.4635049332 1515.109893501031
26 27 50650.46370522346 1458.028785218836
27 28 61114.15591868426 2776.019786728732
28 29 61866.6930583154 1464.935243474493
29 30 64561.77712222812 2754.785093865724
30 31 75179.86559536817 2076.186837222509
31 32 78860.77360612474 2146.006842772811
32 33 90576.8688935255 2202.104682974979
33 34 98213.27273070539 2267.047518862497
34 35 117075.4807745722 5371.26243498919
35 36 107605.4502448944 2174.610657839306
36 37 113716.7465105433 3174.769952315453
37 38 124615.5053754573 2966.668812417508
38 39 127749.3057315064 3399.052855557121
39 40 123308.7882753641 5556.494408487154
40 41 116683.5169038606 5622.445442421206
41 42 102564.5343688058 2343.456501143636
42 43 83728.8092866411 1719.887891640336
43 44 67257.65123840082 1486.269730572223
44 45 53473.26703003922 1611.223350610079
45 46 44615.96335001099 1137.439537332236
46 47 37328.73494996915 941.1211120614008
47 48 30372.81512836598 829.3890145069632
48 49 27326.77453555766 623.6367421088194
49 50 24724.04062353826 1142.866502146352
50 51 20438.54254537629 660.8741242146314
51 52 17440.174666418 536.9365391932397
52 53 14653.99471319408 580.9326829428776
53 54 13046.02616617476 401.0031974380307
54 55 11935.65391724111 439.432512755444
55 56 9860.271793822376 320.1386976434134
56 57 9231.17844236764 364.8551420990472
57 58 8390.640584798448 387.5261695082545
58 59 6922.322924337069 349.3479430743193
59 60 6298.557037113495 333.313847074985
25 60 2045808.081253478 13679.16804901722
