#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 48842.08008686045 242.8013600500784
26 27 52173.43201336938 250.1349498885617
27 28 56240.94399072997 260.5677365315969
28 29 61620.77555488073 264.7113483288863
29 30 67581.23495704753 279.4275370099691
30 31 73633.03417897501 308.4101806867927
31 32 79754.29663689414 314.2322015662547
32 33 85640.96023228025 336.9745194929865
33 34 92634.28049756994 435.725615984119
34 35 99895.8373716856 415.2252566961695
35 36 107708.266033926 433.0523680311715
36 37 114955.7840893359 458.312595604898
37 38 121670.6246321519 489.6300859383525
38 39 126427.799445632 490.2350894332767
39 40 125092.7733623252 583.8510561659565
40 41 117006.0994691617 658.300149701543
41 42 101002.0390098215 416.8596329017371
42 43 83125.38639988679 285.9542601169775
43 44 67237.24377005015 210.3602079968537
44 45 55355.56668574006 172.0241627159538
45 46 45637.63231921877 131.4781280179123
46 47 37962.15091953938 109.8322452194172
47 48 31800.93808593204 97.20929620186331
48 49 26981.56336530503 88.42096140687583
49 50 22977.36863578936 63.37503551052492
50 51 19747.37234279849 57.97451587976644
51 52 17080.69382265626 51.16661263760558
52 53 14811.61873451207 57.37812474796986
53 54 12913.46622080461 42.25094025790386
54 55 11463.25422170484 44.43168448417007
55 56 9970.803060295453 42.46182347047101
56 57 8843.776887569145 35.36771399692429
57 58 7746.735455265249 20.33874106481628
58 59 6969.835140412875 20.07786146435502
59 60 6226.481249923003 19.08205388893278
25 60 2018732.14888005 1748.263602808252
