#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 50147.35116380152 271.1487259027109
26 27 53497.08436968667 279.7899583621304
27 28 57642.38166579763 290.8734114145509
28 29 63282.82969852339 295.7763980435564
29 30 69524.00099766343 312.9715795872607
30 31 75827.0219082176 344.7650963686137
31 32 82363.34227517607 351.7347443147417
32 33 88467.1629231023 377.1104116959397
33 34 95971.21873861892 488.1868216616226
34 35 103700.7806334565 463.6654723040779
35 36 112142.2918179909 484.3168802130684
36 37 119944.4043545909 508.3895883519511
37 38 127451.881242912 547.6768412864236
38 39 132720.7050008478 545.6909485524253
39 40 131278.7634120503 645.3293361901334
40 41 122786.4549905964 735.9616343611323
41 42 105600.7661087973 464.8367784696198
42 43 86259.729965256 307.3413385546293
43 44 69321.53713622165 234.5602015481171
44 45 56683.91951779748 192.1590237524803
45 46 46392.16917536153 146.7709070061775
46 47 38375.27717226379 122.6290901280897
47 48 31909.83114800183 111.1939282505104
48 49 26940.66677408063 99.12216039933882
49 50 22798.19561673997 72.46297962762992
50 51 19522.28118956323 65.19324956055725
51 52 16835.8440801463 57.15413169175474
52 53 14549.7579141173 64.26200874926781
53 54 12643.79683838472 46.96847670627494
54 55 11231.20061056673 50.24604189737331
55 56 9687.667298984325 47.13688865970799
56 57 8602.686570390324 39.68787504756514
57 58 7506.548643187166 22.50993666098035
58 59 6752.459479433186 22.30531866382352
59 60 6036.159584890609 21.31184246727155
25 60 2084398.170017215 1948.568574084228
