#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 67288.13609658576 104.047444520763
-2.3 -2.2 74747.96275775919 93.49728831128711
-2.2 -2.1 80216.50814960539 98.58445856236595
-2.1 -2 84052.65246370315 94.75808046443716
-2 -1.9 91022.01132117535 101.9943341664258
-1.9 -1.8 99086.82536057851 148.9653480191218
-1.8 -1.7 105182.4024154187 156.0164414839049
-1.7 -1.6 109691.4113185528 128.5811216240932
-1.6 -1.5 115885.9568800972 145.3708417819693
-1.5 -1.4 39906.88434176204 191.8480471183776
-1.4 -1.3 42653.05476417513 209.7091822969186
-1.3 -1.2 43519.36536806338 161.1139701184834
-1.2 -1.1 44616.84984379374 185.3885295854404
-1.1 -1 46609.94579756841 192.815007673578
-1 -0.9 47798.11187888421 203.3925597100674
-0.9 -0.8 49510.69890095734 212.0603219900292
-0.8 -0.7 50065.39035046448 215.758076600922
-0.7 -0.6 50966.77977804434 221.6896887851503
-0.6 -0.5 51909.8830345234 228.0188650314275
-0.5 -0.4 52512.9134140729 236.8166341083091
-0.4 -0.3 53403.52411049192 243.7443222619038
-0.3 -0.2 52804.98339678308 240.3232143653941
-0.2 -0.1 53696.76818101315 258.73002442633
-0.1 0 53339.30856977028 229.2702927959263
0 0.1 53497.99752269605 253.6384531089743
0.1 0.2 53585.43162048747 230.1556833660392
0.2 0.3 52835.20737696235 240.7866358954832
0.3 0.4 53289.82218005526 243.3374686918508
0.4 0.5 52544.94168362445 234.901149672869
0.5 0.6 51770.37201809268 226.9579025736076
0.6 0.7 50797.06471669845 221.8574204387678
0.7 0.8 49752.64698741205 214.5611625245687
0.8 0.9 49477.28007443241 268.9082124678087
0.9 1 47552.36707035731 206.8334494711542
1 1.1 46096.62936293266 192.2918311086179
1.1 1.2 44300.23199032347 185.3291498089768
1.2 1.3 43100.15155883935 158.0478343953846
1.3 1.4 42116.85085405128 170.6968609126598
1.4 1.5 39521.9353539546 152.0893891897499
1.5 1.6 115757.8359986562 143.6059840210131
1.6 1.7 109562.5493504067 127.4730802465229
1.7 1.8 104907.7444188231 115.5460697965692
1.8 1.9 98772.25699492985 110.78200440882
1.9 2 90865.85636557869 100.7888555383273
2 2.1 84011.19609616487 93.50872705072949
2.1 2.2 80193.49111593992 88.69004138469518
2.2 2.3 74746.56610040361 83.36477315961478
2.3 2.4 67159.40648495458 74.10458335335949
-2.4 2.4 3116704.161790621 1280.525579553129
