#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 77907.66230929896 126.1784062638602
-2.3 -2.2 86358.9196517908 111.2571501772291
-2.2 -2.1 92634.04241508078 121.0209956449282
-2.1 -2 97882.21146656478 151.9971200944812
-2 -1.9 105754.6709625638 165.3355081180407
-1.9 -1.8 114722.9501593947 180.6127047374829
-1.8 -1.7 121781.1549507149 146.5939707437375
-1.7 -1.6 127274.0946932956 158.0771249705666
-1.6 -1.5 134528.5603665 177.8888286825509
-1.5 -1.4 41086.6811054409 233.9414796622112
-1.4 -1.3 43804.03815926801 205.8064005876633
-1.3 -1.2 44736.90685123243 196.0262893108311
-1.2 -1.1 45898.4391179416 229.472216142277
-1.1 -1 47964.24152249368 239.2448656873299
-1 -0.9 49110.22717518317 248.76345116105
-0.9 -0.8 51045.57749186856 261.6134072107916
-0.8 -0.7 51502.63939254133 267.8413749614932
-0.7 -0.6 52451.76725520124 277.2608060080731
-0.6 -0.5 53390.73414700374 282.3362611671299
-0.5 -0.4 54088.72916846411 295.4518561686563
-0.4 -0.3 54935.64928325778 301.7399006100895
-0.3 -0.2 54254.7223574808 298.3318172425402
-0.2 -0.1 55488.45216010652 362.9944441169154
-0.1 0 54922.04602191053 280.3061560277426
0 0.1 55272.39093917952 359.6178110932167
0.1 0.2 55127.95744771582 281.2584870791856
0.2 0.3 54325.25334998066 299.582181841199
0.3 0.4 54831.13655514727 302.3530695094952
0.4 0.5 54023.71402530214 291.7958371151652
0.5 0.6 53164.08860614395 280.2064857402913
0.6 0.7 52244.43118437656 277.199487141278
0.7 0.8 51107.99062770934 266.3336735258679
0.8 0.9 51025.06934420206 332.0827349981912
0.9 1 48844.69868481263 254.4378620381984
1 1.1 47394.22656576998 239.4821282587648
1.1 1.2 45588.13483862521 229.2651095287873
1.2 1.3 44347.60794696242 201.5231713525646
1.3 1.4 43453.64554403544 212.2582646723013
1.4 1.5 40658.40083766935 184.1802446975056
1.5 1.6 134191.3577547409 165.9817858321664
1.6 1.7 127097.4753000211 156.7643556513642
1.7 1.8 121599.0420940015 144.6232153825223
1.8 1.9 114347.9979454286 133.8632109227842
1.9 2 105377.6785083048 122.487855844467
2 2.1 97750.19504502595 114.7770615528488
2.1 2.2 92563.01827608765 108.5962033182663
2.2 2.3 86308.21843056053 100.7118085984841
2.3 2.4 77715.21693791068 90.08727868997597
-2.4 2.4 3421884.064974313 1593.92689890298
