#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 43147.37465177073 1277.121058693265
26 27 52599.16197885656 1431.200643695347
27 28 58606.66902955339 1750.931452670615
28 29 56987.05313712056 1770.579345558656
29 30 67754.48327443813 2256.072778640873
30 31 73757.97166681194 2088.511013158225
31 32 81511.49327912077 2136.823828780083
32 33 85918.94013547435 1804.98779890066
33 34 91294.39715829591 1973.8131323097
34 35 99899.50178349024 3816.988486443106
35 36 114285.5721929201 2917.407931709568
36 37 117009.9141206342 2886.734706441978
37 38 121652.3914249793 2641.342023805561
38 39 127290.3408867416 2031.800178091216
39 40 121780.4465104778 4269.081381919544
40 41 115909.3047246473 2919.327561104513
41 42 101557.3325161031 2125.676321767856
42 43 82986.8919625344 1768.76576748891
43 44 66744.91656454236 1317.188118682963
44 45 53210.12672327776 1101.35803826029
45 46 45103.98812125032 879.0333787701218
46 47 36994.95941478146 792.9036840695492
47 48 32124.89451541353 684.1866053052812
48 49 27137.58411990646 618.0635764548753
49 50 23080.5670920734 502.3844094473798
50 51 20163.06683169776 546.8736713565607
51 52 16677.84758280217 395.1597562524038
52 53 14153.91357232951 452.0201473580182
53 54 11838.60893164363 393.8531562860907
54 55 11722.12254940612 424.6323647924912
55 56 9561.719860471063 319.7685612241133
56 57 9406.656207575803 335.2643555130576
57 58 7980.572471768905 427.41153847554
58 59 6806.810478340817 298.9416046179879
59 60 6369.726188871568 268.9674312361362
25 60 2013027.321660122 10722.45436405644
