#qTlo qThi PDF0  uncertainty
0 2 103084.4718429828 8070.79427717149
2 4 213276.0537153499 5304.919357731842
4 6 233664.3049851294 3075.465887706068
6 8 208874.5374587213 2264.27362612331
8 10 175267.8209012352 2840.164412047624
10 12 152515.4966202469 1949.073080623072
12 14 126925.7710477752 1888.612807459466
14 16 105344.8116084484 1850.728551490281
16 18 91698.42846274632 1316.717563081123
18 20 74867.09232838695 1360.420139421924
20 22 63913.85761679934 953.8928345883404
22 24 59498.06266060017 879.7831266057973
24 26 51087.52662431471 872.6309183960379
26 28 42543.09642425203 1296.388643171531
28 30 39688.74040720967 824.8121270410035
30 32 33732.41712075807 523.9358388502158
32 34 29680.0373519327 1001.43767159657
34 36 27111.82398888585 821.9725835434982
36 38 24203.78668265991 707.9669792043562
38 40 20680.24016454551 606.9974296815035
40 42 18487.69923322837 410.3603999356791
42 44 15789.74072386602 471.5812682698332
44 46 14532.29797661574 371.8265564214851
46 48 12429.032501652 446.498102690915
48 50 11496.75711458822 430.7651064186462
50 52 10072.19871098731 336.9986298752985
52 54 9621.547887407854 413.2370195715548
54 56 8662.588257718126 356.1747671820961
56 58 8153.586740699729 287.0339717571215
58 60 7391.808915492718 391.9702032921842
60 62 7207.211288924922 257.3166030089545
62 64 6979.497637532198 206.4434346497195
64 66 6212.995217028513 383.5863897065843
66 68 5568.150649827518 190.1002338983428
68 70 5395.222690634699 239.23302078296
70 72 5100.138924014651 250.0807778624216
72 74 4722.671400047992 261.3166253312152
74 76 4014.301116800698 178.8900686227345
76 78 4075.419698659874 227.2773250125809
78 80 3552.893111356784 143.4304605164691
80 82 3272.943707987496 167.7747266541019
82 84 3073.483297502342 152.9654156812434
84 86 2652.831827731854 219.2553510633138
86 88 2577.555848109198 123.8612577879026
88 90 2374.020702389352 174.3387988718345
90 92 2361.304519126043 85.36910751732029
92 94 2150.225174199701 97.97315366320208
94 96 1976.124805951405 87.26399337039355
96 98 2146.414417438696 97.93418649715358
98 100 1769.873545029154 160.4207915607018
0 100 2071478.915655529 11844.28463237338
