#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 41688.61179782391 1019.180368865954
26 27 50807.16912249604 2146.98780621585
27 28 54912.18894271311 1641.33934642739
28 29 64004.07636408551 1773.928255833522
29 30 68369.2910149495 1667.189727916417
30 31 74257.6387439385 1689.962256640904
31 32 78701.33895105426 1911.1720549073
32 33 86231.2871701874 1894.766514305239
33 34 91409.93875057224 2083.262660170783
34 35 105268.9151319713 3299.483776390947
35 36 110009.0223108456 2079.380451252699
36 37 115684.8469688995 2129.111986313872
37 38 119109.219000273 2398.668367199196
38 39 123843.4887771528 2774.335712250321
39 40 128431.8269583904 3423.26269744012
40 41 119475.0150613658 3628.866420832025
41 42 100914.325189537 2282.540016092542
42 43 82340.26477573393 1692.530030238605
43 44 67728.05994425206 1942.795383662295
44 45 54344.35481852712 1262.253221338215
45 46 44677.02315938006 1264.945021461581
46 47 38605.84389476481 686.8452836870877
47 48 31529.75922236436 799.3856918605076
48 49 27009.28581691636 434.0163195094667
49 50 22437.20647790669 623.8665465993736
50 51 19325.05537439715 526.4146332971671
51 52 17135.94342644054 493.3141111868875
52 53 14217.33869562579 655.8733160270091
53 54 12173.84732294607 424.8541909299505
54 55 11397.15125148452 419.0046956777995
55 56 10164.20185295315 287.2994400428785
56 57 9208.265582646893 381.3643413226482
57 58 7846.931937065212 260.6954201806425
58 59 6304.665941069557 437.6591281246984
59 60 6658.422321460253 343.6058748456206
25 60 2016221.822072192 10268.00185453969
