#eta(l)lo eta(l)hi PDF0  uncertainty
-2.4 -2.3 51233.26418428422 529.3359088758122
-2.3 -2.2 56656.50224513527 916.8569832399414
-2.2 -2.1 61165.84425681584 772.4980552576917
-2.1 -2 63455.75512517599 760.1464922558173
-2 -1.9 67543.38127065347 817.7852183461838
-1.9 -1.8 74123.85342540281 858.3671145388578
-1.8 -1.7 79452.81269284303 636.2302783068569
-1.7 -1.6 79585.86452840861 1213.373224658586
-1.6 -1.5 86594.99582862144 643.4655496486525
-1.5 -1.4 41163.67439570837 1038.941607472747
-1.4 -1.3 43694.59837995164 866.7060617947928
-1.3 -1.2 45010.32344161466 880.2597736972499
-1.2 -1.1 45780.18680755988 1068.798910939356
-1.1 -1 46054.48931639967 1998.517669768665
-1 -0.9 51027.27800541092 1436.558583347585
-0.9 -0.8 50310.68721091685 1364.715141643178
-0.8 -0.7 52031.9060783575 1252.655079046795
-0.7 -0.6 50046.10834690172 1157.883972430568
-0.6 -0.5 54250.52192065064 2416.881818272883
-0.5 -0.4 54909.71702462353 1062.157073961922
-0.4 -0.3 54262.17329005539 1550.666837657431
-0.3 -0.2 53057.55918134894 1700.5136226649
-0.2 -0.1 55649.64876762117 1540.539793734012
-0.1 0 56018.1229231701 1550.844515684189
0 0.1 54318.14228524154 1024.961831661836
0.1 0.2 56869.61708510568 1035.221227359059
0.2 0.3 55227.59003064854 1277.318743740638
0.3 0.4 54857.46171549088 1348.542963148846
0.4 0.5 54000.5495871368 1106.34656278031
0.5 0.6 54092.08417275656 1000.5759257232
0.6 0.7 53483.97683584181 1504.827139587439
0.7 0.8 50253.09492277614 1228.244320827301
0.8 0.9 51479.15839789232 1105.370774804561
0.9 1 47690.93133457449 1642.817931694945
1 1.1 50703.74529145192 1239.032602908645
1.1 1.2 46998.3883982698 1364.34435988225
1.2 1.3 45730.40573114977 981.1426834972552
1.3 1.4 44516.70025520274 850.5653011998724
1.4 1.5 42088.3971586338 838.7984068920783
1.5 1.6 85671.92779195802 860.8139695682959
1.6 1.7 83502.81087124438 1501.566172805976
1.7 1.8 77428.78663975795 1038.119400192664
1.8 1.9 73783.23039502143 876.5098859169897
1.9 2 68376.94683622736 689.5224953518047
2 2.1 62943.93882672937 552.4514762495342
2.1 2.2 60555.79884354347 1117.652875069004
2.2 2.3 56748.44019339651 871.4910916076066
2.3 2.4 50963.10640950053 499.334393347667
-2.4 2.4 2755364.498657185 8171.412724480909
