#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 47587.61694474392 219.860991263348
26 27 51014.54567779361 226.2220931250826
27 28 55096.71630767829 236.1974246742473
28 29 60309.06740100501 239.7653672738597
29 30 66117.65461286699 252.6647264649659
30 31 71999.35029674623 279.1175354170374
31 32 77848.23861177267 289.2003242670322
32 33 83668.96039252117 304.8644528818185
33 34 90362.4465551936 394.117195085964
34 35 97418.77285451299 376.8886687218446
35 36 104885.8107570976 391.9414379468832
36 37 111946.3285926546 415.5809518534223
37 38 118568.3932783152 443.2459890112728
38 39 123447.6600017544 445.2739505475301
39 40 122523.1684264191 530.1734445803553
40 41 114580.9864701338 595.3344392530416
41 42 98443.81155674616 379.0304356173405
42 43 80800.4702715223 254.0222681479422
43 44 65360.53995946603 191.031264170462
44 45 53862.44658266618 155.9215529152434
45 46 44486.78118434469 118.8212610712547
46 47 37097.78477376406 99.60261352770512
47 48 31175.80785432914 88.26123437358883
48 49 26515.73416482831 80.00572493702722
49 50 22622.97769896772 60.88934068813708
50 51 19479.74961849793 52.18517689438551
51 52 16888.75876688942 46.31247061759004
52 53 14681.85023420712 51.87292738498437
53 54 12839.66851757405 38.48266953555314
54 55 11401.95628950438 41.15920584218891
55 56 9948.442005330009 38.43405181421732
56 57 8834.541661141669 32.01367198558716
57 58 7764.29849136189 18.57685039419437
58 59 6983.493419981406 18.22051278487064
59 60 6242.901479901515 17.34649107621953
25 60 1972807.731712233 1584.363143978379
