#qTlo qThi PDF0  uncertainty
0 2 95961.7832083425 430.6220385634907
2 4 206695.6290491008 492.6433522423295
4 6 220926.2785724978 270.7053665956868
6 8 198970.26631164 226.984633082806
8 10 169733.8917396079 135.1496562416947
10 12 143568.9417345203 108.6240700986851
12 14 121707.2106103936 110.5984983935213
14 16 103694.1201714864 73.97130920749014
16 18 88718.58430737784 84.02902275900875
18 20 76535.68307830728 52.90258642075635
20 22 66336.19617282123 30.02343106312692
22 24 55825.91129619921 29.17805991949095
24 26 50507.40832118788 17.09312896018254
26 28 44341.43032767011 12.9958318523498
28 30 39043.50906141581 10.74382256827277
30 32 34465.24528232475 9.207808159934141
32 34 30483.10370445359 7.37987711805184
34 36 26990.99222327409 6.937434061747294
36 38 23897.16063433023 7.38396128618846
38 40 21074.25636564422 12.31952336135151
40 42 18448.48625958157 8.433511474754324
42 44 16271.74000366141 15.26838310589834
44 46 14514.11861358009 6.443246825490954
46 48 13062.31401531228 6.917093158057703
48 50 11854.11938539957 7.555048037222228
50 52 10850.93828776474 10.63667240687669
52 54 9984.58442706586 3.48960873533537
54 56 9199.595225081677 7.161843241312218
56 58 8527.829642724202 7.41393009865522
58 60 7906.17469355374 5.471206272913904
60 62 7358.518513740481 3.975402805011226
62 64 6837.883897884312 6.823801079152943
64 66 6292.749579653853 5.826506517557984
66 68 5761.063271329098 3.426281428433518
68 70 5239.27856734927 3.63654156493418
70 72 4738.939851145061 2.547644815176872
72 74 4256.932828609177 1.504437167181371
74 76 3805.364304592698 1.216329650020528
76 78 3394.655585166938 1.567717458705236
78 80 3027.411103426707 1.955445706564514
80 82 2704.193203198256 0.9511074874500501
82 84 2412.628946202233 0.7806328975145999
84 86 2159.745480406678 0.7041770982211927
86 88 1943.369451837253 0.6403480331083584
88 90 1758.726150026597 0.5840812132179702
90 92 1601.639299708942 0.5406178925997335
92 94 1467.792330008972 0.498792618428498
94 96 1353.328695055945 0.4685351561249601
96 98 1254.70474628518 0.4345667871107967
98 100 1168.953757515533 0.4085688428677668
0 100 2008635.382289465 783.6714818753713
