#pT(l)lo pT(l)hi PDF0  uncertainty
25 26 46457.89476273282 1786.084623357532
26 27 51473.14938970392 1608.001755666829
27 28 52258.45872015785 2463.199466059913
28 29 60484.53797976312 2038.768098210601
29 30 67512.03467150044 1935.163229031718
30 31 77245.33539995522 2479.593181813461
31 32 80538.40071281869 2366.050504805942
32 33 91068.74197292456 3164.704827444154
33 34 87821.82851839083 4219.234948700829
34 35 100937.6265228533 3191.539230234383
35 36 105646.1680268003 3586.638544358769
36 37 118424.4240921189 3212.345826859219
37 38 119868.2091008639 2866.995853991624
38 39 125035.5728555188 2893.167824862186
39 40 126403.6621850533 4148.019258062061
40 41 111262.7557251273 3649.119251127347
41 42 102116.4134856959 2765.999502884994
42 43 83819.67783764386 2374.50589443593
43 44 67983.15179580466 1234.755984341044
44 45 56445.93962747585 1874.927548750983
45 46 45173.32587488522 1294.35231156867
46 47 37486.96044846444 1022.441192817884
47 48 32512.68321024579 1021.754212193382
48 49 27049.01225805229 755.3079987709496
49 50 23997.13196612258 648.0923968471731
50 51 20694.0884895377 677.0525287313853
51 52 16493.42129002766 461.9848072169356
52 53 15675.12537225871 690.438430454101
53 54 13146.66090560688 505.5622460663393
54 55 11180.67638509713 472.9304701469653
55 56 9961.609901616855 329.3865786747265
56 57 9488.830572181982 229.549649359032
57 58 7975.658921514587 391.9857967843099
58 59 7179.577008577621 287.5764616178146
59 60 6963.022763506809 300.809493539207
25 60 2017781.768750601 12844.83438220262
